scene,mode,method,sample_id,frame_index,altitude_m,view_angle_deg,yaw_deg,keypoints,matches,inliers,inlier_ratio,reproj_err_px,scale,tiles_searched,plausible,reject_code,error_m,sigma_m,latency_ms,detect_ms,match_ms,ransac_ms
Scene_09,satellite,edgepoint2_s64,L09_0001,0,63.88,89.44,81.62,4096,639,24,0.0376,1.685,1.2921,9,False,PLE-08,,,913.5,314.1,454.5,26.9
Scene_09,satellite,edgepoint2_s64,L09_0002,1,70.66,89.41,82.04,4096,649,9,0.0139,1.344,1.1707,9,False,PLE-08,,,767.2,315.0,415.2,24.9
Scene_09,satellite,edgepoint2_s64,L09_0003,2,78.25,89.4,82.44,4096,645,38,0.0589,1.704,0.6717,9,True,,1.1862,8.0,942.2,473.4,432.3,23.1
Scene_09,satellite,edgepoint2_s64,L09_0004,3,85.34,89.4,82.7,4096,598,34,0.0569,1.62,0.664,9,True,,1.3293,8.0,992.6,484.2,467.8,23.4
Scene_09,satellite,edgepoint2_s64,L09_0005,4,91.23,89.42,83.0,4096,613,21,0.0343,1.723,0.8895,9,True,,3.3495,8.0,999.5,556.3,411.3,17.6
Scene_09,satellite,edgepoint2_s64,L09_0006,5,93.91,89.43,83.24,4096,600,37,0.0617,1.914,0.7614,9,True,,2.3949,8.0,1090.5,583.9,460.9,20.4
Scene_09,satellite,edgepoint2_s64,L09_0007,6,93.52,87.17,143.04,4096,629,15,0.0238,1.677,1.0988,9,False,PLE-08,,,1296.7,827.6,424.8,19.0
Scene_09,satellite,edgepoint2_s64,L09_0008,7,92.33,86.78,144.67,4096,572,40,0.0699,1.664,0.8515,9,True,,2.6265,8.0,1223.3,766.0,416.8,20.4
Scene_09,satellite,edgepoint2_s64,L09_0009,8,92.58,86.7,146.03,4096,565,27,0.0478,1.929,2.8162,9,False,PLE-08,,,1184.4,753.5,397.1,18.4
Scene_09,satellite,edgepoint2_s64,L09_0010,9,92.94,86.86,147.48,4096,578,25,0.0433,1.566,0.8339,9,True,,2.0197,8.0,1198.2,761.8,400.9,19.5
Scene_09,satellite,edgepoint2_s64,L09_0011,10,92.89,87.26,148.38,4096,517,25,0.0484,1.738,0.8161,9,True,,2.1524,8.0,1207.4,760.8,409.0,20.3
Scene_09,satellite,edgepoint2_s64,L09_0012,11,93.11,87.99,148.84,4096,461,15,0.0325,1.331,1.0938,9,True,,1.4276,8.0,1101.1,716.2,353.6,14.3
Scene_09,satellite,edgepoint2_s64,L09_0013,12,93.37,89.37,105.79,4096,581,6,0.0103,1.158,0.7938,9,True,,156.0975,8.0,1022.6,643.2,347.9,16.3
Scene_09,satellite,edgepoint2_s64,L09_0014,13,92.56,89.78,93.72,4096,560,9,0.0161,1.159,4.4601,9,False,PLE-08,,,877.7,476.2,366.8,19.0
Scene_09,satellite,edgepoint2_s64,L09_0015,14,93.57,89.73,93.19,4096,613,13,0.0212,1.779,0.4238,9,False,PLE-08,,,919.8,486.6,397.7,19.5
Scene_09,satellite,edgepoint2_s64,L09_0016,15,93.74,89.85,93.35,4096,663,8,0.0121,0.929,0.9621,9,True,,3.4852,8.0,1052.5,489.3,533.2,16.6
Scene_09,satellite,edgepoint2_s64,L09_0017,16,93.66,89.88,93.38,4096,634,10,0.0158,1.305,0.7706,9,True,,3.2677,8.0,1005.7,514.9,458.4,17.7
Scene_09,satellite,edgepoint2_s64,L09_0018,17,93.23,89.83,93.36,4096,648,10,0.0154,1.475,0.8945,9,True,,2.2444,8.0,954.3,503.7,420.0,16.1
Scene_09,satellite,edgepoint2_s64,L09_0019,18,93.27,89.78,93.29,4096,640,7,0.0109,0.536,6.1053,9,False,PLE-08,,,1008.9,516.9,454.4,22.9
Scene_09,satellite,edgepoint2_s64,L09_0020,19,93.36,89.93,93.43,4096,702,19,0.0271,1.205,1.1171,9,True,,3.9611,8.0,931.2,497.4,402.5,17.7
Scene_09,satellite,edgepoint2_s64,L09_0021,20,93.06,89.94,93.38,4096,652,10,0.0153,0.713,0.7741,9,True,,3.9738,8.0,919.3,471.3,418.1,16.0
Scene_09,satellite,edgepoint2_s64,L09_0022,21,93.23,89.81,93.04,4096,623,5,0.008,0.225,0.9274,9,False,PLE-08,,,970.9,489.0,446.5,19.5
Scene_09,satellite,edgepoint2_s64,L09_0023,22,93.7,89.91,92.25,4096,590,9,0.0153,0.984,0.8385,9,True,,3.2442,8.0,1026.0,504.7,485.1,18.5
Scene_09,satellite,edgepoint2_s64,L09_0024,23,93.92,89.94,91.82,4096,619,10,0.0162,0.991,0.4366,9,False,PLE-08,,,1005.8,513.8,455.0,18.9
Scene_09,satellite,edgepoint2_s64,L09_0025,24,93.97,89.92,91.51,4096,632,6,0.0095,0.83,1.1295,9,True,,2.0665,8.0,941.8,523.0,390.9,14.0
Scene_09,satellite,edgepoint2_s64,L09_0026,25,93.93,89.76,91.42,4096,647,12,0.0185,1.644,0.6491,9,False,PLE-08,,,998.4,497.9,469.5,17.4
Scene_09,satellite,edgepoint2_s64,L09_0027,26,93.83,89.53,91.31,4096,611,8,0.0131,0.833,1.6361,9,False,PLE-08,,,991.1,488.4,466.5,18.3
Scene_09,satellite,edgepoint2_s64,L09_0028,27,93.36,89.2,91.18,4096,588,6,0.0102,0.614,1.3866,9,False,PLE-08,,,971.7,491.0,448.8,17.3
Scene_09,satellite,edgepoint2_s64,L09_0029,28,93.19,89.08,90.45,4096,495,7,0.0141,0.735,2.0219,9,False,PLE-08,,,958.5,481.0,446.5,16.7
Scene_09,satellite,edgepoint2_s64,L09_0030,29,93.26,89.05,90.26,4096,518,7,0.0135,0.784,0.8518,9,True,,2.4915,8.0,975.9,490.9,458.1,12.1
Scene_09,satellite,edgepoint2_s64,L09_0031,30,93.22,89.06,90.15,4096,317,5,0.0158,0.109,0.9923,9,False,PLE-08,,,896.0,447.8,420.4,13.5
Scene_09,satellite,edgepoint2_s64,L09_0032,31,93.11,89.06,90.38,4096,420,5,0.0119,0.308,6.3044,9,False,PLE-08,,,940.2,468.0,446.4,12.5
Scene_09,satellite,edgepoint2_s64,L09_0033,32,93.08,89.12,90.19,4096,328,5,0.0152,0.166,0.8262,9,False,PLE-08,,,942.3,408.9,510.0,10.9
Scene_09,satellite,edgepoint2_s64,L09_0034,33,93.2,89.0,90.01,4096,271,5,0.0185,0.031,0.4905,9,False,PLE-08,,,915.9,447.4,443.8,11.0
Scene_09,satellite,edgepoint2_s64,L09_0035,34,93.17,88.96,89.77,4096,369,5,0.0136,0.342,1.5,9,False,PLE-08,,,972.0,478.6,463.9,14.1
Scene_09,satellite,edgepoint2_s64,L09_0036,35,93.24,89.05,89.72,4096,484,5,0.0103,0.39,0.8043,9,True,,14.7351,8.0,931.3,479.0,425.6,11.0
Scene_09,satellite,edgepoint2_s64,L09_0037,36,93.08,89.04,89.8,4096,518,6,0.0116,0.773,0.5151,9,False,PLE-08,,,967.9,418.1,519.4,17.2
Scene_09,satellite,edgepoint2_s64,L09_0038,37,93.22,89.04,89.87,4096,475,7,0.0147,0.917,1.1656,9,True,,2.6855,8.0,952.3,427.8,496.9,12.8
Scene_09,satellite,edgepoint2_s64,L09_0039,38,93.08,89.04,89.94,4096,514,16,0.0311,1.483,1.0546,9,True,,2.7825,8.0,947.0,440.9,473.3,18.6
Scene_09,satellite,edgepoint2_s64,L09_0040,39,92.99,89.08,89.96,4096,602,20,0.0332,1.949,0.5013,9,False,PLE-08,,,952.2,438.9,481.9,18.0
Scene_09,satellite,edgepoint2_s64,L09_0041,40,92.94,89.07,90.02,4096,558,20,0.0358,1.909,0.7292,9,True,,2.0987,8.0,910.4,437.8,440.3,18.9
Scene_09,satellite,edgepoint2_s64,L09_0042,41,92.71,89.05,90.08,4096,654,10,0.0153,1.875,3.9174,9,False,PLE-08,,,824.9,413.7,374.5,17.7
Scene_09,satellite,edgepoint2_s64,L09_0043,42,92.38,89.05,90.14,4096,609,10,0.0164,1.214,0.3652,9,False,PLE-08,,,805.9,415.4,359.1,17.4
Scene_09,satellite,edgepoint2_s64,L09_0044,43,92.29,89.04,90.17,4096,593,6,0.0101,0.65,1.5064,9,False,PLE-08,,,1035.5,518.8,486.2,17.1
Scene_09,satellite,edgepoint2_s64,L09_0045,44,92.04,89.05,90.25,4096,548,5,0.0091,0.316,1.6865,9,False,PLE-08,,,902.0,440.1,428.9,18.0
Scene_09,satellite,edgepoint2_s64,L09_0046,45,92.03,89.03,90.29,4096,609,13,0.0213,1.072,0.6866,9,True,,3.6756,8.0,876.4,448.9,396.5,17.8
Scene_09,satellite,edgepoint2_s64,L09_0047,46,92.11,89.09,90.26,4096,640,16,0.025,1.392,1.0198,9,True,,4.3257,8.0,819.9,407.4,382.9,16.7
Scene_09,satellite,edgepoint2_s64,L09_0048,47,92.18,89.13,90.3,4096,614,5,0.0081,0.406,2.2414,9,False,PLE-08,,,846.7,436.1,379.8,17.0
Scene_09,satellite,edgepoint2_s64,L09_0049,48,91.75,89.16,90.46,4096,522,7,0.0134,1.033,7.5454,9,False,PLE-08,,,906.0,420.5,443.6,17.8
Scene_09,satellite,edgepoint2_s64,L09_0050,49,91.77,89.16,91.13,4096,497,5,0.0101,0.037,0.1694,9,False,PLE-08,,,857.6,414.9,407.4,16.8
Scene_09,satellite,edgepoint2_s64,L09_0051,50,91.72,89.18,91.56,4096,541,5,0.0092,0.108,1.8329,9,False,PLE-08,,,955.0,457.1,467.4,18.0
Scene_09,satellite,edgepoint2_s64,L09_0052,51,91.84,89.01,91.52,4096,604,5,0.0083,0.25,31.0707,9,False,PLE-08,,,988.2,481.1,472.1,18.6
Scene_09,satellite,edgepoint2_s64,L09_0053,52,91.96,88.9,91.21,4096,605,10,0.0165,1.482,0.8241,9,True,,4.0733,8.0,956.5,448.0,476.1,14.2
Scene_09,satellite,edgepoint2_s64,L09_0054,53,92.21,88.65,90.92,4096,571,5,0.0088,0.19,0.726,9,False,PLE-08,,,974.6,453.7,482.9,17.5
Scene_09,satellite,edgepoint2_s64,L09_0055,54,92.27,88.53,90.68,4096,577,8,0.0139,1.036,0.3609,9,False,PLE-08,,,941.4,440.9,470.1,17.0
Scene_09,satellite,edgepoint2_s64,L09_0056,55,92.13,88.3,90.49,4096,611,10,0.0164,1.721,0.6747,9,True,,2.6025,8.0,999.9,413.1,558.9,14.5
Scene_09,satellite,edgepoint2_s64,L09_0057,56,92.0,88.17,90.28,4096,623,25,0.0401,1.697,1.7909,9,False,PLE-08,,,941.8,447.4,461.9,18.7
