phase,t_s,error_m,est_n,est_e,truth_n,truth_e
denied,88.894,5.8823,686.608,516.901,691.929,519.408
denied,88.995,5.8754,685.435,517.946,690.797,520.347
denied,89.094,5.9095,684.202,519.009,689.659,521.277
denied,89.194,5.9232,683.002,520.032,688.515,522.199
denied,89.294,5.7546,681.868,520.960,687.124,523.304
denied,89.394,5.7889,680.610,521.941,685.919,524.248
denied,89.495,5.7732,679.435,522.837,684.709,525.187
denied,89.594,5.9186,678.149,523.799,683.640,526.008
denied,89.694,5.9270,676.944,524.673,682.422,526.935
denied,89.794,6.0456,675.622,525.612,681.249,527.822
denied,89.894,6.0707,674.394,526.472,680.025,528.741
denied,89.994,5.9863,673.155,527.320,678.601,529.804
denied,90.094,6.1235,671.809,528.233,677.422,530.680
denied,90.194,6.1738,670.557,529.070,676.193,531.591
denied,90.294,6.2357,669.296,529.899,674.963,532.501
denied,90.394,6.4031,667.922,530.793,673.782,533.374
denied,90.494,6.4757,666.652,531.613,672.552,534.283
denied,90.595,6.6637,665.262,532.494,671.371,535.155
denied,90.694,6.7836,663.979,533.306,670.192,536.028
denied,90.794,6.9456,662.591,534.181,668.965,536.939
denied,90.894,6.9258,661.309,534.983,667.544,537.998
denied,90.994,7.0998,659.915,535.852,666.321,538.914
denied,91.100,7.2392,658.627,536.654,665.150,539.795
denied,91.194,7.4119,657.242,537.525,663.932,540.716
denied,91.294,7.6455,655.830,538.387,662.766,541.604
denied,91.394,7.8108,654.531,539.179,661.603,542.495
denied,91.494,8.0187,653.127,540.038,660.395,543.427
denied,91.594,8.1578,651.836,540.833,659.191,544.363
denied,91.694,8.3283,650.548,541.625,658.039,545.266
denied,91.794,8.4377,649.159,542.485,656.653,546.363
denied,91.894,8.6160,647.877,543.279,655.510,547.276
denied,91.994,8.8608,646.491,544.142,654.372,548.193
denied,92.094,9.0454,645.213,544.941,653.238,549.115
denied,92.194,9.2741,643.830,545.810,652.062,550.081
denied,92.294,9.4369,642.562,546.615,650.891,551.053
denied,92.394,9.6906,641.192,547.483,649.771,551.990
denied,92.494,9.7716,639.937,548.288,648.425,553.130
denied,92.594,9.9673,638.686,549.092,647.316,554.078
denied,92.699,10.2205,637.334,549.970,646.212,555.032
denied,92.800,10.4380,636.089,550.784,645.159,555.951
denied,92.902,10.5646,634.802,551.640,643.836,557.115
denied,92.999,10.8180,633.419,552.570,642.702,558.125
denied,93.099,11.0905,632.072,553.454,641.618,559.099
denied,93.199,11.2831,630.839,554.280,640.493,560.119
denied,93.299,11.4909,629.613,555.111,639.418,561.102
denied,93.399,11.7295,628.294,556.016,638.303,562.131
denied,93.499,11.9327,627.070,556.847,637.193,563.165
denied,93.599,12.1880,625.759,557.762,636.132,564.161
denied,93.699,12.3786,624.556,558.607,635.030,565.203
denied,93.799,12.5672,623.258,559.512,633.758,566.417
denied,93.899,12.7781,622.068,560.353,632.710,567.426
denied,93.999,12.9803,620.877,561.197,631.622,568.480
denied,94.099,13.2319,619.586,562.112,630.537,569.538
denied,94.200,13.4320,618.402,562.969,629.456,570.600
denied,94.299,13.6774,617.125,563.911,628.421,571.622
denied,94.401,13.8791,615.951,564.788,627.390,572.647
denied,94.502,14.1232,614.679,565.738,626.362,573.675
denied,94.600,14.2810,613.513,566.620,625.165,574.877
denied,94.700,14.4852,612.349,567.499,624.143,575.909
denied,94.812,14.6840,611.087,568.450,622.910,577.158
denied,94.900,14.8971,610.026,569.258,622.105,577.977
denied,95.000,15.1209,608.779,570.217,621.046,579.057
denied,95.099,15.2823,607.634,571.102,619.863,580.268
denied,95.200,15.5061,606.396,572.056,618.808,581.350
denied,95.302,15.7059,605.259,572.942,617.839,582.346
denied,95.400,15.9276,604.030,573.904,616.828,583.386
denied,95.508,16.1053,602.806,574.870,615.608,584.643
denied,95.605,16.2567,601.775,575.691,614.598,585.683
denied,95.699,14.6502,602.008,577.751,613.589,586.724
denied,95.799,11.1981,603.663,580.991,612.580,587.765
denied,95.899,6.5257,606.242,585.040,611.571,588.807
denied,95.999,2.7527,608.089,588.617,610.555,589.841
denied,96.099,0.6522,609.285,591.521,609.486,590.900
denied,96.200,2.4962,609.999,593.851,608.403,591.931
denied,96.299,3.8512,609.939,595.711,607.123,593.084
denied,96.399,4.7362,609.564,597.161,606.037,594.000
denied,96.499,5.4101,608.919,598.529,604.922,594.883
denied,96.599,5.8790,608.158,599.648,603.774,595.731
denied,96.699,6.2308,607.187,600.731,602.544,596.576
denied,96.799,6.4938,606.189,601.633,601.281,597.380
denied,96.899,6.6533,605.023,602.523,600.041,598.114
denied,96.999,6.7977,603.876,603.269,598.722,598.838
denied,97.100,6.9638,602.571,604.014,597.161,599.628
denied,97.199,6.9945,601.318,604.648,595.904,600.220
denied,97.300,7.0000,599.919,605.285,594.520,600.830
denied,97.399,7.0446,598.600,605.835,593.120,601.409
denied,97.499,7.0156,597.144,606.391,591.706,601.959
denied,97.599,7.0068,595.781,606.874,590.338,602.461
denied,97.699,6.9255,594.287,607.368,588.961,602.942
denied,97.799,6.9360,592.898,607.800,587.518,603.422
denied,97.899,7.0211,591.392,608.250,585.837,603.955
denied,97.999,7.0177,590.009,608.651,584.441,604.380
denied,98.099,6.9086,588.511,609.070,583.099,604.775
denied,98.199,7.2609,587.101,610.025,581.696,605.177
denied,98.299,8.1974,585.709,611.686,580.232,605.586
denied,98.399,9.5448,584.472,613.522,578.533,606.051
denied,98.499,10.8975,583.025,615.564,577.065,606.441
denied,98.599,12.0631,581.670,617.259,575.653,606.804
denied,98.699,13.3077,580.281,619.023,574.296,607.137
denied,98.799,14.2830,579.016,620.348,572.816,607.481
denied,98.900,15.2276,577.643,621.662,571.330,607.805
denied,98.999,16.0336,576.371,622.763,569.897,608.094
denied,99.099,16.9166,574.988,623.955,568.400,608.374
denied,99.199,17.8321,573.709,625.110,566.897,608.631
denied,99.301,18.8330,572.315,626.316,565.147,608.900
denied,99.399,19.5963,571.034,627.253,563.634,609.108
denied,99.499,20.2815,569.639,628.145,562.178,609.285
denied,99.600,20.9124,568.321,628.923,560.718,609.442
denied,99.700,21.5641,566.840,629.764,559.256,609.577
denied,99.799,22.2593,565.420,630.531,557.547,609.710
denied,99.899,22.8480,563.837,631.313,556.141,609.800
denied,99.999,23.3716,562.361,631.947,554.672,609.876
denied,100.099,23.8147,560.773,632.514,553.202,609.935
denied,100.199,24.2761,559.286,632.950,551.424,609.983
denied,100.299,24.5720,557.697,633.325,549.952,610.005
denied,100.400,24.7785,556.199,633.579,548.541,610.014
denied,100.499,24.9101,554.571,633.764,547.069,610.011
denied,100.599,25.1021,553.066,633.859,545.290,609.992
denied,100.699,25.1088,551.431,633.873,543.757,609.966
denied,100.801,25.0498,549.894,633.779,542.225,609.932
denied,100.899,24.8389,548.208,633.569,540.693,609.894
denied,101.000,24.6114,546.658,633.318,539.223,609.856
denied,101.099,24.3877,545.143,633.061,537.754,609.819
denied,101.203,24.2113,543.574,632.875,536.286,609.786
denied,101.299,24.1976,542.169,632.793,534.757,609.758
denied,101.399,24.3217,540.784,632.858,533.230,609.740
denied,101.499,24.4042,539.312,632.940,531.764,609.733
denied,101.599,24.5389,537.971,633.025,530.237,609.737
denied,101.699,24.7220,536.528,633.128,528.468,609.757
denied,101.799,24.8205,535.202,633.234,527.065,609.785
denied,101.899,24.9289,533.768,633.359,525.542,609.827
denied,101.999,25.0433,532.442,633.485,524.080,609.879
denied,102.099,25.2015,531.005,633.632,522.376,609.954
denied,102.199,25.3290,529.675,633.779,520.856,610.035
denied,102.299,25.3913,528.230,633.948,519.459,610.120
denied,102.400,25.4793,526.864,634.109,518.002,610.221
denied,102.499,25.5323,525.271,634.259,516.304,610.353
denied,102.599,25.4985,523.744,634.394,514.911,610.475
denied,102.699,25.4468,522.056,634.548,513.399,610.619
denied,102.799,25.4034,520.488,634.696,511.949,610.771
denied,102.909,25.3706,518.785,634.874,510.321,610.958
denied,103.005,25.3212,517.222,635.058,508.936,611.131
denied,103.106,25.2732,515.534,635.275,507.434,611.335
denied,103.206,25.2468,513.985,635.496,505.995,611.546
denied,103.305,25.2178,512.319,635.758,504.500,611.783
denied,103.405,25.2480,510.791,636.018,502.771,612.077
denied,103.505,25.2295,509.150,636.321,501.284,612.349
denied,103.605,25.2283,507.647,636.622,499.861,612.625
denied,103.705,25.2191,506.034,636.965,498.442,612.916
denied,103.805,25.2334,504.557,637.300,496.968,613.234
denied,103.905,25.2428,502.966,637.680,495.499,613.567
denied,104.006,25.2603,501.507,638.044,494.034,613.914
denied,104.106,25.2724,499.934,638.454,492.631,614.260
denied,104.206,25.2989,498.492,638.846,491.058,614.664
denied,104.305,25.3153,496.936,639.281,489.605,615.050
denied,104.405,25.3346,495.509,639.693,488.156,615.449
denied,104.505,25.3508,493.971,640.148,486.827,615.825
denied,104.605,25.3662,492.557,640.575,485.443,616.227
denied,104.705,25.3838,491.036,641.046,484.005,616.655
denied,104.806,25.3925,489.637,641.485,482.341,617.164
denied,104.906,25.4024,488.131,641.966,480.910,617.611
denied,105.006,25.4077,486.749,642.413,479.482,618.067
denied,105.106,25.4117,485.260,642.899,478.057,618.530
denied,105.205,25.4109,483.887,643.353,476.634,619.000
denied,105.305,25.3060,482.271,643.778,475.213,619.476
denied,105.405,24.9521,480.461,644.003,473.795,619.958
denied,105.505,24.7048,478.636,644.335,472.492,620.406
denied,105.605,24.4216,476.733,644.651,471.134,620.880
denied,105.705,23.9061,474.211,644.889,469.553,621.441
denied,105.806,23.2965,471.879,644.922,468.258,621.909
denied,105.905,22.4909,469.263,644.788,466.854,622.426
denied,106.005,21.8760,467.018,644.756,465.510,622.932
denied,106.106,21.3236,464.721,644.868,463.894,623.561
denied,106.205,21.0054,462.678,645.102,462.564,624.097
denied,106.306,20.7547,460.837,645.423,461.186,624.672
denied,106.405,20.6167,458.952,645.862,459.817,625.264
denied,106.505,20.4380,457.217,646.245,458.510,625.848
denied,106.605,20.2908,455.388,646.685,457.158,626.472
denied,106.705,20.0247,453.681,647.021,455.813,627.110
denied,106.805,19.9190,451.927,647.484,454.529,627.735
denied,106.905,19.8180,450.368,647.980,453.251,628.373
denied,107.005,19.7861,448.727,648.574,451.928,629.049
denied,107.105,19.7166,447.243,649.162,450.610,629.735
denied,107.205,19.7763,445.658,649.833,449.351,630.404
denied,107.306,19.5908,444.209,650.475,447.835,631.223
denied,107.406,19.7181,442.651,651.190,446.637,631.879
denied,107.506,19.7402,441.218,651.863,445.389,632.568
denied,107.609,19.6525,439.671,652.603,443.884,633.407
denied,107.707,19.6257,438.262,653.277,442.588,634.134
denied,107.805,19.4525,436.771,653.740,441.345,634.833
denied,107.905,18.5353,435.369,653.453,440.101,635.532
denied,108.006,17.2628,433.829,652.790,438.804,636.260
denied,108.105,16.4042,432.412,652.535,437.560,636.959
denied,108.205,15.8364,430.883,652.538,436.319,637.663
denied,108.305,15.3647,429.477,652.731,435.031,638.405
denied,108.406,15.1381,427.957,653.092,433.800,639.127
denied,108.505,14.8886,426.555,653.529,432.524,639.889
denied,108.605,14.7937,425.037,654.086,431.254,640.662
denied,108.705,14.0530,423.623,653.914,430.041,641.412
denied,108.806,13.2959,422.092,653.934,428.580,642.328
denied,108.905,12.8685,420.678,654.144,427.326,643.126
denied,109.006,12.6581,419.147,654.525,426.077,643.933
denied,109.105,11.9027,417.730,654.298,424.835,644.749
denied,109.205,11.4732,416.196,654.339,423.598,645.573
denied,109.306,11.1996,414.781,654.568,422.416,646.373
denied,109.405,11.1554,413.249,654.966,421.240,647.183
denied,109.506,10.6862,411.856,654.835,420.071,648.002
denied,109.606,10.2352,410.340,654.955,418.667,649.003
denied,109.707,9.9041,408.943,654.808,417.512,649.842
denied,109.805,9.7709,407.428,654.786,416.315,650.725
denied,109.906,9.7569,406.027,654.978,415.174,651.583
denied,110.005,10.0207,404.508,655.354,414.088,652.415
denied,110.106,9.9061,403.102,655.816,412.728,653.478
denied,110.205,10.2464,401.578,656.172,411.658,654.332
denied,110.305,10.4377,400.168,656.327,410.548,655.232
denied,110.406,10.5806,398.640,656.679,409.214,656.329
denied,110.507,10.9386,397.184,656.907,408.117,657.246
denied,110.605,11.1810,395.846,657.182,406.980,658.209
denied,110.705,11.4682,394.491,657.589,405.848,659.180
denied,110.805,11.9208,393.021,658.087,404.767,660.120
denied,110.905,12.2303,391.717,658.407,403.646,661.106
denied,111.006,12.7007,390.275,658.888,402.574,662.058
denied,111.105,13.0851,388.923,659.422,401.505,663.015
denied,111.206,13.5705,387.443,660.070,400.439,663.978
denied,111.305,13.8173,386.067,660.715,399.154,665.147
denied,111.405,14.2173,384.683,661.392,398.092,666.117
denied,111.505,14.7377,383.176,662.145,397.074,667.050
denied,111.606,15.1383,381.782,662.856,396.011,668.023
denied,111.705,15.5948,380.270,663.642,394.902,669.037
denied,111.805,15.9338,378.873,664.371,393.745,670.089
denied,111.905,16.3490,377.413,665.194,392.674,671.058
denied,112.005,16.4917,376.131,665.929,391.373,672.225
denied,112.106,16.7161,374.900,666.662,390.291,673.184
denied,112.206,16.9286,373.702,667.399,389.248,674.099
denied,112.305,17.1607,372.428,668.175,388.153,675.046
denied,112.405,17.1587,371.281,668.900,386.819,676.180
denied,112.505,17.3112,370.038,669.689,385.660,677.147
denied,112.605,17.4300,368.884,670.400,384.538,678.066
denied,112.705,17.5234,367.733,671.137,383.406,678.975
denied,112.806,17.6485,366.476,671.927,382.217,679.910
denied,112.905,17.7737,365.301,672.640,381.112,680.758
denied,113.007,17.7683,364.035,673.437,379.707,681.811
denied,113.105,17.8337,362.859,674.157,378.531,682.667
denied,113.205,17.8969,361.678,674.857,377.345,683.508
denied,113.306,18.0172,360.404,675.629,376.197,684.300
denied,113.405,18.0192,359.226,676.321,374.938,685.144
denied,113.505,18.0808,357.937,677.052,373.666,685.970
denied,113.605,17.9669,356.755,677.738,372.226,686.872
denied,113.705,18.0282,355.459,678.455,370.980,687.627
denied,113.805,18.0592,354.255,679.098,369.775,688.332
denied,113.906,18.0030,353.055,679.751,368.452,689.079
denied,114.006,17.9154,351.746,680.425,366.957,689.890
denied,114.105,17.8820,350.531,681.035,365.663,690.564
denied,114.210,17.8311,349.315,681.644,364.358,691.217
denied,114.305,17.8535,347.977,682.269,363.042,691.850
denied,114.406,17.7706,346.736,682.839,361.660,692.486
denied,114.505,17.6424,345.382,683.442,360.100,693.171
denied,114.605,17.5859,344.127,683.968,358.751,693.734
denied,114.706,17.7410,342.500,684.570,357.337,694.298
denied,114.805,17.6927,341.132,685.112,355.913,694.837
denied,114.905,17.5202,339.947,685.633,354.537,695.332
denied,115.005,17.4965,338.580,686.123,353.153,695.806
denied,115.105,17.2270,337.296,686.560,351.471,696.349
denied,115.205,17.1799,335.896,687.000,350.013,696.791
denied,115.306,17.0926,334.603,687.390,348.605,697.193
denied,115.406,17.0634,333.203,687.804,347.192,697.574
denied,115.506,25.5121,354.741,721.810,345.713,697.949
denied,115.605,25.7139,353.639,722.233,344.228,698.303
denied,115.706,25.8508,352.559,722.546,342.736,698.634
denied,115.806,25.9386,351.298,722.849,341.295,698.917
denied,115.905,26.0634,350.104,723.115,339.853,699.152
denied,116.005,26.1189,348.700,723.230,338.106,699.356
denied,116.106,26.0377,347.331,723.201,336.654,699.453
denied,116.205,25.8591,345.789,723.046,335.133,699.484
denied,116.308,25.6735,344.332,722.803,333.670,699.448
denied,116.405,25.3508,342.734,722.442,332.267,699.353
denied,116.505,25.2759,341.251,722.028,330.505,699.150
denied,116.606,24.9082,339.645,721.503,329.115,698.930
denied,116.705,24.6519,338.167,720.957,327.673,698.649
denied,116.805,24.2908,336.574,720.306,326.241,698.323
denied,116.906,24.2495,335.125,719.683,324.524,697.874
denied,117.005,23.9284,333.597,719.019,323.173,697.480
denied,117.107,23.7878,332.217,718.412,321.773,697.040
denied,117.205,23.7653,330.755,717.760,320.152,696.491
denied,117.306,23.7352,329.429,717.154,318.715,695.975
denied,117.405,23.6346,328.011,716.498,317.287,695.437
denied,117.505,23.6309,326.714,715.874,315.867,694.880
denied,117.605,23.5384,325.427,715.235,314.567,694.352
denied,117.705,23.3950,324.038,714.529,313.217,693.787
denied,117.805,23.3454,322.764,713.860,311.873,693.211
denied,117.905,23.3830,321.389,713.117,310.312,692.525
denied,118.005,23.3323,320.124,712.425,308.979,691.927
denied,118.105,23.1698,318.757,711.656,307.650,691.322
denied,118.205,23.1033,317.499,710.933,306.324,690.712
denied,118.307,23.1308,316.137,710.145,304.780,689.994
denied,118.406,23.0613,314.883,709.409,303.460,689.376
denied,118.506,22.9295,313.525,708.601,302.085,688.730
denied,118.605,22.9021,312.271,707.854,300.712,688.083
denied,118.705,22.7145,310.919,707.036,299.394,687.463
denied,118.806,22.6866,309.677,706.281,298.020,686.818
denied,118.905,22.5029,308.330,705.467,296.701,686.203
denied,119.006,22.4719,307.086,704.713,295.324,685.565
denied,119.105,20.6542,304.672,702.582,293.946,684.931
denied,119.205,18.1872,301.946,699.884,292.564,684.303
denied,119.305,15.3634,298.940,696.767,291.013,683.607
denied,119.405,13.4772,296.616,694.520,289.622,683.000
denied,119.506,11.8582,294.429,692.574,288.279,682.435
denied,119.606,10.8289,292.619,691.107,286.926,681.895
denied,119.705,9.9002,290.806,689.779,285.563,681.381
denied,119.806,9.5547,289.223,688.735,283.903,680.799
denied,119.905,9.0108,287.567,687.755,282.460,680.331
denied,120.005,8.6418,286.071,686.957,281.066,679.912
denied,120.105,8.1679,284.467,686.187,279.723,679.538
denied,120.206,7.9506,282.994,685.545,278.256,679.160
denied,120.306,7.6489,281.400,684.910,276.782,678.813
denied,120.405,7.4420,279.921,684.388,275.361,678.506
denied,120.505,7.3293,278.317,683.870,273.698,678.179
denied,120.605,7.1555,276.822,683.443,272.267,677.925
denied,120.706,6.9276,275.196,683.015,270.773,677.683
denied,120.805,6.8087,273.691,682.646,269.276,677.463
denied,120.905,6.6504,272.174,682.311,267.835,677.271
denied,121.005,6.4875,270.650,681.990,266.391,677.096
denied,121.105,6.2621,268.987,681.662,264.885,676.931
denied,121.205,6.3207,267.445,681.383,263.134,676.760
denied,121.305,6.0520,265.778,681.091,261.684,676.633
denied,121.406,5.9315,264.239,680.832,260.172,676.514
denied,121.506,5.6209,262.566,680.569,258.779,676.415
denied,121.605,5.4557,261.024,680.332,257.324,676.322
denied,121.706,5.4106,259.357,680.081,255.566,676.221
denied,121.805,5.2925,257.813,679.864,254.048,676.144
denied,121.905,5.1749,256.275,679.645,252.530,676.074
denied,122.006,4.9102,254.613,679.416,251.073,676.013
denied,122.106,4.7983,253.079,679.210,249.553,675.956
denied,122.205,4.6387,251.548,679.002,248.094,675.905
denied,122.305,4.2673,249.762,678.763,246.635,675.859
denied,122.406,4.0411,248.089,678.550,245.115,675.814
denied,122.505,3.8828,246.561,678.349,243.655,675.774
denied,122.606,3.6747,244.919,678.133,242.135,675.735
denied,122.706,3.5770,243.403,677.937,240.614,675.697
denied,122.807,3.3696,241.762,677.718,239.094,675.661
denied,122.906,3.4177,240.121,677.502,237.269,675.618
denied,123.005,3.2821,238.604,677.306,235.810,675.584
denied,123.105,3.0944,237.090,677.101,234.411,675.552
denied,123.206,2.9014,235.450,676.884,232.891,675.515
denied,123.306,2.8352,233.938,676.683,231.372,675.478
denied,123.406,2.6537,232.304,676.456,229.853,675.440
denied,123.506,2.5474,230.796,676.251,228.395,675.401
denied,123.606,2.4623,229.112,676.067,226.755,675.355
denied,123.705,2.2144,227.482,675.942,225.359,675.314
denied,123.806,1.8367,225.573,675.880,223.842,675.267
denied,123.905,1.5768,223.781,675.820,222.325,675.216
denied,124.005,1.1970,221.921,675.735,220.869,675.164
denied,124.105,1.0732,220.217,675.742,219.354,675.104
denied,124.205,0.9486,218.346,675.839,217.838,675.038
denied,124.305,1.1011,216.634,676.021,216.324,674.965
denied,124.405,1.4355,214.787,676.318,214.810,674.883
denied,124.505,1.8218,213.109,676.596,213.055,674.775
denied,124.605,2.1060,211.346,676.761,211.664,674.679
denied,124.705,2.2901,209.768,676.818,210.152,674.560
denied,124.805,2.5936,208.101,676.955,208.701,674.432
denied,124.905,2.9373,206.584,677.155,207.191,674.282
denied,125.005,3.3629,204.954,677.391,205.743,674.122
denied,125.105,3.6646,203.459,677.533,203.994,673.908
denied,125.205,4.1942,201.908,677.856,202.489,673.702
denied,125.305,4.6070,200.277,678.030,201.046,673.487
denied,125.405,5.0620,198.842,678.257,199.605,673.253
denied,125.505,5.3627,197.293,678.291,198.227,673.010
denied,125.605,5.7246,195.914,678.377,196.553,672.688
denied,125.705,6.0641,194.443,678.422,195.182,672.403
denied,125.805,6.2567,193.077,678.305,193.755,672.085
denied,125.907,6.4024,191.593,678.049,191.977,671.658
denied,126.005,6.3903,190.226,677.721,190.797,671.356
denied,126.105,6.3571,188.747,677.290,189.326,670.959
denied,126.206,6.3121,187.389,676.836,187.860,670.542
denied,126.305,6.2688,185.925,676.300,186.167,670.036
denied,126.405,6.1742,184.579,675.771,184.772,669.600
denied,126.506,6.0406,183.131,675.169,183.324,669.132
denied,126.606,5.9225,181.794,674.591,181.938,668.671
denied,126.705,5.7955,180.450,673.994,180.557,668.199
denied,126.805,5.6146,178.990,673.330,179.179,667.718
denied,126.907,5.5769,177.641,672.702,177.519,667.127
denied,127.005,5.4042,176.175,672.013,176.091,666.609
denied,127.106,5.2620,174.820,671.368,174.724,666.107
denied,127.206,5.3210,173.254,670.899,173.302,665.578
denied,127.306,5.3630,171.846,670.409,171.882,665.046
denied,127.407,5.3032,170.352,669.832,170.521,664.531
denied,127.507,5.4017,168.900,669.389,169.105,663.991
denied,127.605,5.5755,167.270,669.006,167.692,663.447
denied,127.706,5.7579,165.784,668.668,166.393,662.942
denied,127.808,6.0651,164.249,668.345,164.759,662.301
denied,127.906,6.2119,162.866,667.953,163.408,661.765
denied,128.005,6.2677,161.393,667.455,162.060,661.223
denied,128.106,6.3033,160.055,666.943,160.714,660.674
denied,128.205,6.2945,158.646,666.354,159.314,660.096
denied,128.305,6.3113,157.416,665.802,157.917,659.510
denied,128.405,6.2688,156.070,665.171,156.523,658.919
denied,128.505,6.2325,154.821,664.567,155.185,658.346
denied,128.605,6.2574,153.452,663.903,153.572,657.647
denied,128.705,6.2500,152.167,663.291,152.183,657.041
denied,128.805,6.1909,150.735,662.645,150.851,656.456
denied,128.906,6.1700,149.423,662.037,149.520,655.868
denied,129.006,6.0652,147.988,661.340,148.189,655.278
denied,129.106,6.1205,146.653,660.708,146.638,654.587
denied,129.205,6.0474,145.229,660.016,145.254,653.969
denied,129.305,5.9729,143.891,659.322,143.870,653.349
denied,129.405,5.7732,142.438,658.548,142.598,652.777
denied,129.505,5.5185,140.991,657.692,141.270,652.180
denied,129.605,5.3243,139.555,656.805,139.722,651.483
denied,129.705,5.0534,138.224,655.937,138.394,650.886
denied,129.805,4.7283,136.817,655.033,137.122,650.315
denied,129.906,4.5364,135.502,654.157,135.571,649.621
denied,130.005,4.1893,134.100,653.217,134.242,649.030
denied,130.106,3.9186,132.841,652.360,132.911,648.442
denied,130.206,3.6162,131.504,651.450,131.523,647.834
denied,130.305,3.3736,130.274,650.653,130.245,647.279
denied,130.406,3.3169,128.945,649.889,128.630,646.587
denied,130.505,3.2322,127.710,649.226,127.292,646.021
denied,130.605,3.1589,126.465,648.578,125.952,645.461
denied,130.709,3.0561,125.105,647.889,124.554,644.883
denied,130.806,2.9973,123.844,647.264,123.210,644.335
denied,130.905,2.8889,122.623,646.579,121.864,643.791
denied,131.005,2.6586,121.274,645.762,120.461,643.230
denied,131.108,2.6326,119.991,644.949,118.831,642.585
denied,131.205,2.4077,118.601,644.135,117.424,642.035
denied,131.305,2.3378,117.320,643.429,116.015,641.489
denied,131.406,2.1984,115.931,642.702,114.604,640.949
denied,131.505,2.1430,114.649,642.058,113.248,640.436
denied,131.605,2.0518,113.261,641.382,111.834,639.908
denied,131.705,2.0342,111.979,640.773,110.474,639.404
denied,131.805,1.8043,110.483,640.079,109.113,638.906
denied,131.907,2.1013,109.202,639.492,107.466,638.308
denied,132.006,1.9720,107.784,638.845,106.102,637.817
denied,132.105,1.9746,106.423,638.234,104.679,637.308
denied,132.205,1.8194,104.911,637.556,103.256,636.802
denied,132.306,1.9333,103.602,637.073,101.831,636.298
denied,132.405,1.9137,102.192,636.482,100.406,635.796
denied,132.505,1.9928,100.888,635.869,98.979,635.295
denied,132.605,1.9141,99.481,635.218,97.610,634.814
denied,132.706,1.9703,98.189,634.627,96.240,634.332
denied,132.805,1.9954,96.801,634.005,94.814,633.831
denied,132.905,2.1045,95.491,633.374,93.387,633.329
denied,133.006,2.0883,94.039,632.640,91.959,632.826
denied,133.107,2.1294,92.696,632.029,90.589,632.343
denied,133.205,2.0679,91.238,631.409,89.220,631.859
denied,133.305,2.3671,89.898,630.878,87.564,631.273
denied,133.406,2.3524,88.454,630.356,86.138,630.767
denied,133.505,2.4568,87.138,629.867,84.712,630.259
denied,133.606,2.4630,85.718,629.350,83.287,629.748
denied,133.705,2.5209,84.373,628.998,81.864,629.235
denied,133.805,2.4016,82.899,628.683,80.498,628.739
denied,133.905,2.4071,81.464,628.528,79.077,628.217
denied,134.005,2.3213,79.866,628.407,77.658,627.690
denied,134.105,2.3623,78.343,628.360,76.297,627.177
denied,134.205,2.4244,76.771,628.155,74.884,626.634
denied,134.306,2.6445,75.350,628.019,73.530,626.100
denied,134.406,3.2101,73.789,628.034,71.901,625.438
denied,134.505,3.5636,72.389,627.932,70.558,624.875
denied,134.606,3.7765,70.931,627.663,69.220,624.296
denied,134.705,4.0007,69.626,627.304,67.889,623.700
denied,134.805,4.3046,68.287,627.031,66.565,623.086
denied,134.906,4.6356,66.971,626.709,65.193,622.428
denied,135.006,4.8273,65.594,626.245,63.830,621.751
denied,135.105,5.0015,64.358,625.739,62.530,621.084
denied,135.205,5.3009,63.048,625.131,60.971,620.255
denied,135.305,5.4304,61.862,624.527,59.689,619.550
denied,135.405,5.5089,60.599,623.835,58.364,618.800
denied,135.506,5.6695,59.449,623.170,57.048,618.034
denied,135.605,5.6856,58.221,622.427,55.792,617.286
denied,135.705,5.7919,57.100,621.723,54.544,616.526
denied,135.805,5.7653,55.864,620.919,53.303,615.754
denied,135.905,5.9616,54.496,620.362,52.017,614.940
denied,136.006,6.3280,53.016,619.804,50.534,613.983
denied,136.105,6.5037,51.730,619.219,49.313,613.182
denied,136.205,6.6257,50.405,618.529,48.048,612.337
denied,136.305,6.8214,49.229,617.852,46.790,611.481
denied,136.406,6.9198,47.996,617.084,45.540,610.615
denied,136.505,7.1029,46.888,616.352,44.298,609.738
denied,136.605,7.1415,45.713,615.538,43.112,608.887
denied,136.707,7.3229,44.649,614.773,41.883,607.992
denied,136.805,7.4126,43.513,613.931,40.661,607.089
denied,136.905,7.5365,42.432,613.098,39.445,606.178
denied,137.005,7.3549,41.161,612.066,38.282,605.298
denied,137.106,7.2405,39.927,611.030,37.075,604.375
denied,137.206,6.9549,38.565,609.859,35.873,603.446
denied,137.305,6.9252,37.297,608.750,34.531,602.401
denied,137.406,6.4950,35.926,607.536,33.432,601.539
denied,137.507,6.2941,34.666,606.408,32.240,600.600
denied,137.605,6.1068,33.421,605.287,31.051,599.659
denied,137.706,5.7347,32.074,604.065,29.911,598.754
denied,137.806,5.5148,30.853,602.957,28.772,597.850
denied,137.905,5.2434,29.547,601.771,27.587,596.908
denied,138.012,5.2623,28.351,600.684,26.260,595.855
denied,138.113,5.0852,27.166,599.610,25.124,594.953
denied,138.212,4.8516,25.892,598.456,23.940,594.015
denied,138.312,4.7099,24.638,597.396,22.755,593.078
denied,138.412,4.3535,23.121,596.268,21.618,592.182
denied,138.512,4.3998,21.740,595.238,20.242,591.101
denied,138.612,3.8656,20.259,594.101,19.293,590.358
