t_unix,accepted,inliers,matches,sigma_m,reproj_err_px,fix_n,fix_e,truth_n,truth_e,fix_error_m
1789657590.823,1,15,309,8.0,1.533,-99.150,-489.323,-99.315,-491.350,2.034
1789657590.987,1,14,327,8.0,1.125,-95.768,-488.057,-96.173,-491.873,3.838
1789657592.907,1,28,418,8.0,1.42,-67.143,-496.760,-67.775,-497.363,0.874
1789657593.328,1,29,429,8.0,1.688,-60.804,-499.625,-61.580,-498.627,1.265
1789657593.619,1,35,403,8.0,1.539,-56.884,-501.394,-57.185,-499.507,1.912
1789657593.713,1,32,418,8.0,1.458,-56.590,-501.814,-55.678,-499.801,2.211
1789657593.758,1,36,441,8.0,1.472,-55.039,-502.608,-55.678,-499.801,2.879
1789657593.795,1,37,431,8.0,1.613,-54.361,-503.209,-54.229,-500.078,3.133
1789657593.835,1,41,448,8.0,1.607,-53.768,-503.632,-54.229,-500.078,3.584
1789657593.881,1,35,417,8.0,1.451,-53.013,-503.806,-52.719,-500.361,3.457
1789657593.918,1,37,424,8.0,1.592,-52.958,-504.403,-52.719,-500.361,4.049
1789657593.960,1,36,424,8.0,1.439,-52.429,-504.672,-52.719,-500.361,4.321
1789657594.017,1,42,425,8.0,1.431,-51.454,-505.674,-51.207,-500.636,5.044
1789657597.032,1,68,554,8.0,1.579,-5.938,-506.364,-5.270,-500.972,5.433
1789657597.077,1,54,436,8.0,1.483,-4.097,-505.455,-5.270,-500.972,4.634
1789657597.125,1,65,457,8.0,1.491,-3.376,-505.329,-3.511,-500.836,4.495
1789657597.165,1,68,473,8.0,1.556,-3.128,-505.099,-3.511,-500.836,4.281
1789657597.207,1,60,461,8.0,1.494,-2.032,-504.536,-2.055,-500.723,3.813
1789657597.247,1,63,476,8.0,1.527,-1.606,-504.410,-2.055,-500.723,3.714
1789657597.289,1,60,473,8.0,1.593,-1.246,-504.628,-0.537,-500.605,4.084
1789657597.331,1,63,462,8.0,1.51,-0.643,-504.061,-0.537,-500.605,3.458
1789657597.376,1,59,456,8.0,1.524,0.180,-504.066,-0.537,-500.605,3.534
1789657597.416,1,59,458,8.0,1.602,0.705,-504.171,0.981,-500.486,3.695
1789657597.458,1,58,458,8.0,1.569,1.283,-504.449,0.981,-500.486,3.974
1789657597.500,1,59,468,8.0,1.383,2.656,-504.040,2.439,-500.369,3.677
1789657597.541,1,60,443,8.0,1.522,3.027,-504.479,2.439,-500.369,4.152
1789657597.586,1,53,457,8.0,1.641,3.228,-504.612,3.958,-500.241,4.431
1789657597.628,1,58,452,8.0,1.432,4.429,-505.235,3.958,-500.241,5.016
1789657597.670,1,63,449,8.0,1.53,4.928,-505.414,3.958,-500.241,5.263
1789657597.713,1,66,455,8.0,1.468,5.454,-505.438,5.356,-500.117,5.322
1789657599.817,1,55,429,8.0,1.357,38.056,-500.531,37.305,-495.290,5.295
1789657599.867,1,51,412,8.0,1.395,38.812,-500.286,37.305,-495.290,5.219
1789657599.914,1,61,417,8.0,1.374,39.623,-499.634,38.799,-495.007,4.700
1789657599.958,1,68,424,8.0,1.524,40.073,-499.626,38.799,-495.007,4.791
1789657600.005,1,58,406,8.0,1.479,41.104,-499.018,40.233,-494.734,4.371
1789657600.054,1,56,424,8.0,1.297,41.465,-498.719,40.233,-494.734,4.170
1789657600.106,1,56,404,8.0,1.344,41.943,-498.606,41.726,-494.450,4.162
1789657600.154,1,57,413,8.0,1.391,42.947,-498.170,41.726,-494.450,3.916
1789657600.229,1,65,415,8.0,1.237,43.786,-497.818,43.159,-494.176,3.695
1789657600.276,1,63,415,8.0,1.222,44.835,-497.352,43.159,-494.176,3.591
1789657600.326,1,60,419,8.0,1.188,45.466,-497.402,44.651,-493.891,3.605
1789657600.383,1,65,420,8.0,1.338,45.651,-497.126,46.083,-493.616,3.537
1789657600.429,1,56,410,8.0,1.275,46.959,-496.629,46.083,-493.616,3.137
1789657600.476,1,66,426,8.0,1.421,47.733,-496.287,46.083,-493.616,3.139
1789657600.522,1,57,395,8.0,1.377,48.105,-495.966,47.515,-493.342,2.690
1789657600.572,1,56,399,8.0,1.261,48.703,-495.816,47.515,-493.342,2.745
1789657600.618,1,61,403,8.0,1.239,49.602,-495.722,49.245,-493.010,2.735
1789657600.667,1,60,407,8.0,1.455,50.073,-495.451,49.245,-493.010,2.578
1789657600.716,1,59,402,8.0,1.347,51.013,-494.951,50.676,-492.736,2.240
1789657600.767,1,56,398,8.0,1.249,51.435,-494.883,50.676,-492.736,2.278
1789657600.817,1,57,399,8.0,1.243,52.407,-494.453,52.107,-492.463,2.012
1789657600.909,1,61,383,8.0,1.324,53.981,-493.942,53.538,-492.192,1.805
1789657602.244,1,58,391,8.0,1.303,73.341,-489.393,73.050,-488.719,0.734
1789657602.401,1,66,417,8.0,1.337,75.887,-489.413,75.979,-488.210,1.206
1789657602.597,1,59,406,8.0,1.178,78.917,-489.367,79.090,-487.663,1.712
1789657602.648,1,60,434,8.0,1.375,79.808,-489.416,79.090,-487.663,1.894
1789657602.691,1,57,427,8.0,1.32,80.285,-489.102,80.527,-487.410,1.709
1789657602.743,1,58,388,8.0,1.304,80.857,-489.125,80.527,-487.410,1.747
1789657602.785,1,58,406,8.0,1.095,82.070,-488.933,82.024,-487.144,1.789
1789657602.828,1,57,405,8.0,1.299,82.343,-488.713,82.024,-487.144,1.601
1789657602.970,1,55,407,8.0,1.331,82.839,-488.615,83.521,-486.878,1.866
1789657603.012,1,65,398,8.0,1.264,85.454,-488.227,85.018,-486.612,1.673
1789657603.054,1,61,406,8.0,1.364,85.960,-488.189,85.018,-486.612,1.837
1789657603.098,1,66,411,8.0,1.346,86.409,-487.984,86.455,-486.356,1.628
1789657603.143,1,58,412,8.0,1.271,87.414,-487.618,86.455,-486.356,1.585
1789657603.191,1,63,428,8.0,1.236,87.948,-487.463,88.132,-486.059,1.416
1789657603.277,1,70,418,8.0,1.238,89.477,-486.956,88.132,-486.059,1.617
1789657603.471,1,71,424,8.0,1.218,92.443,-485.850,91.007,-485.553,1.467
1789657603.568,1,82,396,8.0,1.328,93.819,-485.621,92.384,-485.313,1.467
1789657603.927,1,81,404,8.0,1.292,98.785,-484.666,98.431,-484.277,0.526
1789657604.105,1,87,424,8.0,1.295,101.700,-484.189,101.425,-483.771,0.500
1789657604.169,1,83,407,8.0,1.228,102.519,-484.121,101.425,-483.771,1.149
1789657604.219,1,93,398,8.0,1.27,103.237,-483.906,102.922,-483.519,0.499
1789657604.279,1,97,414,8.0,1.329,103.760,-483.917,104.419,-483.265,0.926
1789657604.400,1,92,409,8.0,1.337,104.727,-483.859,105.855,-483.022,1.405
1789657604.442,1,96,417,8.0,1.339,106.710,-483.743,105.855,-483.022,1.118
1789657604.562,1,100,410,8.0,1.338,107.304,-483.822,107.352,-482.767,1.056
1789657604.604,1,98,429,8.0,1.293,109.339,-483.802,108.848,-482.511,1.382
1789657604.648,1,96,425,8.0,1.311,109.778,-483.668,108.848,-482.511,1.484
1789657604.690,1,95,422,8.0,1.211,110.803,-483.629,110.284,-482.264,1.460
1789657604.731,1,96,419,8.0,1.361,111.403,-483.600,110.284,-482.264,1.742
1789657604.778,1,98,427,8.0,1.288,111.774,-483.583,110.284,-482.264,1.990
1789657604.819,1,91,439,8.0,1.34,112.767,-483.291,112.019,-481.965,1.522
1789657604.859,1,97,405,8.0,1.298,113.362,-483.273,112.019,-481.965,1.875
1789657604.904,1,93,416,8.0,1.364,113.777,-483.299,113.515,-481.705,1.615
1789657604.947,1,96,426,8.0,1.255,114.286,-483.225,113.515,-481.705,1.705
1789657604.990,1,95,423,8.0,1.218,114.816,-483.310,115.010,-481.444,1.875
1789657605.033,1,92,414,8.0,1.331,115.778,-483.222,115.010,-481.444,1.936
1789657605.076,1,97,405,8.0,1.312,116.290,-483.085,115.010,-481.444,2.081
1789657605.118,1,97,427,8.0,1.368,117.244,-483.050,116.445,-481.192,2.022
1789657605.162,1,98,428,8.0,1.328,117.791,-483.077,116.445,-481.192,2.317
1789657605.208,1,88,387,8.0,1.34,118.425,-482.988,117.879,-480.938,2.121
1789657605.259,1,94,410,8.0,1.362,119.405,-482.925,117.879,-480.938,2.505
1789657605.309,1,97,416,8.0,1.353,119.866,-483.036,119.373,-480.671,2.416
1789657605.357,1,94,424,8.0,1.273,120.326,-482.984,119.373,-480.671,2.502
1789657605.400,1,88,417,8.0,1.316,121.380,-482.901,120.806,-480.412,2.555
1789657605.511,1,88,401,8.0,1.269,121.945,-482.853,122.299,-480.138,2.738
1789657605.552,1,99,422,8.0,1.301,123.874,-482.978,122.299,-480.138,3.247
1789657605.593,1,88,410,8.0,1.321,124.446,-483.131,123.792,-479.861,3.335
1789657605.636,1,90,411,8.0,1.336,124.972,-483.092,123.792,-479.861,3.440
1789657605.683,1,92,422,8.0,1.388,125.439,-483.079,125.283,-479.580,3.502
1789657605.725,1,85,406,8.0,1.252,126.440,-483.136,125.283,-479.580,3.739
1789657605.767,1,87,413,8.0,1.338,126.902,-483.086,125.283,-479.580,3.862
1789657605.854,1,89,405,8.0,1.28,127.571,-483.210,126.774,-479.293,3.997
1789657605.895,1,91,406,8.0,1.315,129.020,-483.290,128.263,-479.001,4.355
1789657605.943,1,90,411,8.0,1.389,129.548,-483.368,128.263,-479.001,4.552
1789657605.986,1,83,425,8.0,1.349,130.697,-483.457,129.929,-478.667,4.851
1789657609.486,1,40,385,8.0,1.303,181.250,-468.205,180.619,-463.331,4.915
1789657609.579,1,46,405,8.0,1.174,182.964,-467.649,182.035,-462.793,4.944
1789657609.672,1,48,380,8.0,1.313,184.180,-467.014,182.035,-462.793,4.735
1789657609.875,1,34,402,8.0,1.187,186.851,-466.164,184.750,-461.753,4.886
1789657611.354,1,16,343,8.0,1.199,209.211,-459.828,205.705,-452.897,7.767
1789657613.235,1,9,257,8.0,1.705,235.582,-444.204,231.608,-439.644,6.049
1789657613.342,1,8,260,8.0,1.566,237.068,-442.984,232.667,-439.052,5.902
1789657613.396,1,11,265,8.0,1.249,238.050,-441.155,233.990,-438.310,4.958
1789657613.753,0,7,235,8.0,0.476,241.826,-441.606,238.049,-436.007,6.754
1789657614.725,1,11,208,8.0,1.481,255.131,-432.612,250.983,-428.256,6.015
1789657614.897,1,13,219,8.0,1.477,256.579,-433.524,253.694,-426.546,7.551
1789657615.136,1,12,193,8.0,1.825,260.347,-430.157,256.140,-424.983,6.668
1789657615.361,1,13,173,8.0,1.333,263.743,-428.895,258.625,-423.371,7.531
1789657615.766,0,6,153,8.0,0.56,-119.323,-391.212,263.753,-419.949,384.152
1789657615.861,1,12,147,8.0,1.769,270.272,-425.168,264.949,-419.129,8.050
1789657616.297,0,7,144,8.0,0.796,279.046,-427.256,271.212,-414.697,14.803
1789657617.629,1,14,135,8.0,1.627,291.068,-407.854,286.680,-402.746,6.734
1789657618.387,1,9,209,8.0,1.325,298.474,-400.085,294.856,-396.007,5.452
1789657618.678,1,13,200,8.0,1.382,301.605,-396.544,298.262,-393.144,4.768
1789657618.732,1,13,207,8.0,2.033,301.696,-395.514,299.363,-392.211,4.044
1789657618.897,1,15,199,8.0,1.895,303.947,-393.634,301.561,-390.342,4.065
1789657618.953,1,10,196,8.0,1.071,304.114,-393.128,301.561,-390.342,3.779
1789657619.460,1,10,197,8.0,1.756,308.722,-385.624,307.357,-385.397,1.384
1789657620.519,1,12,248,8.0,1.604,318.129,-375.784,319.944,-374.882,2.027
1789657626.136,1,14,470,8.0,1.157,385.059,-322.631,382.312,-318.542,4.927
1789657626.565,1,14,290,8.0,1.268,390.244,-317.928,386.447,-314.194,5.325
1789657626.657,1,19,294,8.0,1.237,388.473,-315.428,387.472,-313.097,2.537
1789657626.703,1,17,321,8.0,1.267,390.076,-315.603,388.450,-312.039,3.918
1789657626.845,1,18,320,8.0,1.174,393.853,-316.041,389.425,-310.975,6.728
1789657626.950,1,21,296,8.0,1.341,392.893,-315.127,390.595,-309.683,5.910
1789657627.466,1,16,331,8.0,1.376,400.601,-306.819,395.410,-304.143,5.841
1789657629.358,1,25,417,8.0,1.463,418.431,-284.348,412.228,-281.146,6.981
1789657630.193,1,35,420,8.0,1.354,425.026,-275.675,419.350,-269.813,8.159
1789657632.497,1,30,468,8.0,1.857,440.297,-243.459,435.784,-239.368,6.092
1789657632.720,1,41,482,8.0,1.478,441.861,-240.504,437.097,-236.685,6.105
1789657633.474,1,39,437,8.0,1.472,446.310,-230.523,441.494,-227.467,5.704
1789657634.076,1,42,460,8.0,1.569,449.875,-222.521,445.249,-219.271,5.653
1789657634.416,1,41,475,8.0,1.447,452.147,-217.005,447.693,-213.765,5.508
1789657634.500,1,39,451,8.0,1.445,452.321,-216.863,448.242,-212.508,5.967
1789657634.635,1,42,457,8.0,1.476,453.260,-214.116,448.837,-211.140,5.331
1789657634.680,1,13,479,8.0,0.913,456.236,-206.367,448.837,-211.140,8.805
1789657634.768,1,36,454,8.0,1.354,453.962,-212.569,449.545,-209.497,5.380
1789657634.812,1,43,457,8.0,1.41,454.260,-211.895,450.109,-208.181,5.569
1789657635.173,1,18,459,8.0,1.537,457.200,-199.031,451.809,-204.170,7.448
1789657635.215,1,29,458,8.0,1.536,456.093,-205.933,452.340,-202.905,4.823
1789657635.373,1,20,455,8.0,1.473,458.753,-196.350,453.006,-201.308,7.590
1789657635.429,1,34,443,8.0,1.693,456.894,-203.166,453.532,-200.041,4.590
1789657635.485,1,35,455,8.0,1.548,457.588,-202.027,453.532,-200.041,4.516
1789657635.541,1,30,454,8.0,1.313,458.358,-201.059,454.169,-198.497,4.910
1789657635.589,1,27,437,8.0,1.213,458.116,-200.830,454.714,-197.174,4.994
1789657635.640,1,29,452,8.0,1.316,457.982,-200.268,454.714,-197.174,4.500
1789657635.694,1,30,454,8.0,1.615,458.434,-199.078,455.279,-195.796,4.552
1789657635.738,1,29,456,8.0,1.615,458.691,-197.975,455.279,-195.796,4.049
1789657635.810,1,29,453,8.0,1.652,459.104,-197.502,455.843,-194.417,4.489
1789657635.867,1,27,443,8.0,1.617,458.903,-196.667,455.843,-194.417,3.798
1789657635.921,1,30,451,8.0,1.407,459.343,-195.802,456.406,-193.039,4.032
1789657635.968,1,28,441,8.0,1.664,459.869,-190.337,456.406,-193.039,4.392
1789657636.121,1,30,468,8.0,1.792,459.510,-190.268,457.484,-190.393,2.030
1789657636.188,1,33,471,8.0,1.67,460.863,-189.058,457.484,-190.393,3.634
1789657636.240,1,31,455,8.0,1.739,460.554,-188.941,458.021,-189.070,2.536
1789657636.292,1,33,447,8.0,1.795,461.361,-187.927,458.021,-189.070,3.530
1789657636.337,1,38,466,8.0,1.694,461.093,-186.871,458.559,-187.748,2.682
1789657636.409,1,41,464,8.0,1.62,461.532,-186.321,459.208,-186.150,2.330
1789657636.460,1,38,467,8.0,1.738,462.723,-184.582,459.208,-186.150,3.849
1789657636.511,1,42,440,8.0,1.836,462.805,-184.213,459.745,-184.827,3.121
1789657636.563,1,44,461,8.0,1.665,462.557,-183.716,459.745,-184.827,3.024
1789657636.627,1,43,449,8.0,1.692,462.598,-183.171,460.305,-183.450,2.310
1789657636.668,1,43,457,8.0,1.698,463.398,-182.527,460.305,-183.450,3.228
1789657636.724,1,42,452,8.0,1.692,463.402,-182.298,460.865,-182.073,2.547
1789657636.765,1,43,458,8.0,1.502,463.843,-181.160,460.865,-182.073,3.115
1789657636.831,1,42,474,8.0,1.579,463.753,-180.923,461.381,-180.806,2.375
1789657636.882,1,45,480,8.0,1.573,463.720,-179.841,461.381,-180.806,2.530
1789657636.928,1,48,464,8.0,1.581,464.379,-178.844,462.011,-179.264,2.405
1789657637.048,1,48,449,8.0,1.743,464.431,-178.002,462.528,-177.999,1.903
1789657637.110,1,42,458,8.0,1.578,465.108,-176.612,463.092,-176.623,2.016
1789657637.170,1,49,472,8.0,1.77,465.414,-175.678,463.092,-176.623,2.507
1789657637.216,1,43,452,8.0,1.421,465.115,-174.638,463.634,-175.303,1.623
1789657637.260,1,49,466,8.0,1.494,464.951,-174.555,463.634,-175.303,1.514
1789657637.301,1,51,457,8.0,1.66,465.902,-173.414,464.268,-173.764,1.671
1789657637.341,1,58,469,8.0,1.686,465.986,-172.897,464.268,-173.764,1.924
1789657637.388,1,55,472,8.0,1.659,466.241,-172.559,464.268,-173.764,2.312
1789657637.435,1,53,463,8.0,1.572,466.508,-171.970,464.812,-172.444,1.761
1789657637.488,1,57,471,8.0,1.63,466.734,-171.578,464.812,-172.444,2.109
1789657637.532,1,55,471,8.0,1.562,467.014,-170.529,465.334,-171.180,1.802
1789657637.578,1,56,467,8.0,1.661,467.171,-169.911,465.334,-171.180,2.233
1789657637.622,1,65,465,8.0,1.638,467.334,-169.211,465.879,-169.862,1.594
1789657637.666,1,61,468,8.0,1.674,467.484,-168.885,465.879,-169.862,1.879
1789657637.711,1,63,468,8.0,1.576,467.851,-167.896,466.448,-168.489,1.523
1789657637.755,1,62,452,8.0,1.612,468.104,-167.482,466.448,-168.489,1.939
1789657637.885,1,67,452,8.0,1.607,468.659,-167.264,467.017,-167.116,1.649
1789657637.929,1,66,468,8.0,1.591,469.171,-164.691,467.586,-165.744,1.903
1789657637.974,1,67,465,8.0,1.866,469.135,-164.564,467.586,-165.744,1.948
1789657638.018,1,64,451,8.0,1.651,469.701,-163.717,468.224,-164.209,1.556
1789657638.065,1,63,462,8.0,1.63,469.967,-163.345,468.224,-164.209,1.945
1789657638.121,1,64,471,8.0,1.614,470.146,-162.699,468.794,-162.838,1.359
1789657638.166,1,65,466,8.0,1.658,470.375,-161.818,468.794,-162.838,1.881
1789657638.228,1,72,464,8.0,1.676,470.706,-161.399,469.364,-161.468,1.344
1789657638.272,1,72,460,8.0,1.553,471.116,-160.271,469.364,-161.468,2.121
1789657638.316,1,76,461,8.0,1.716,471.420,-159.916,469.934,-160.098,1.497
1789657638.373,1,68,462,8.0,1.605,471.725,-159.516,469.934,-160.098,1.883
1789657638.416,1,72,467,8.0,1.511,472.151,-158.479,470.481,-158.783,1.697
1789657638.470,1,78,476,8.0,1.685,472.733,-157.844,470.481,-158.783,2.440
1789657638.516,1,76,475,8.0,1.55,472.632,-157.605,471.051,-157.413,1.593
1789657638.572,1,74,469,8.0,1.552,473.010,-156.787,471.051,-157.413,2.057
1789657638.622,1,77,461,8.0,1.591,473.661,-156.147,471.619,-156.043,2.044
1789657638.666,1,71,444,8.0,1.526,473.582,-155.745,471.619,-156.043,1.985
1789657638.718,1,72,469,8.0,1.615,474.036,-154.892,472.232,-154.563,1.833
1789657638.776,1,76,463,8.0,1.643,474.362,-154.417,472.232,-154.563,2.134
1789657638.826,1,74,467,8.0,1.517,474.785,-153.689,472.799,-153.191,2.047
1789657638.873,1,79,448,8.0,1.632,475.217,-152.943,472.799,-153.191,2.432
1789657638.920,1,79,466,8.0,1.641,475.479,-152.515,473.341,-151.874,2.232
1789657638.968,1,85,463,8.0,1.585,475.859,-152.058,473.341,-151.874,2.525
1789657639.010,1,87,477,8.0,1.446,476.206,-151.223,473.881,-150.556,2.419
1789657639.050,1,87,504,8.0,1.552,476.644,-150.916,473.881,-150.556,2.786
1789657639.091,1,85,486,8.0,1.567,477.136,-149.992,473.881,-150.556,3.304
1789657639.192,1,93,491,8.0,1.647,477.406,-149.642,474.419,-149.237,3.014
1789657639.241,1,87,477,8.0,1.484,478.176,-148.374,474.976,-147.861,3.241
1789657639.285,1,88,475,8.0,1.595,478.738,-147.712,474.976,-147.861,3.765
1789657639.371,1,15,486,8.0,1.819,480.365,-145.417,475.508,-146.540,4.986
1789657639.415,1,13,481,8.0,1.721,479.434,-144.362,476.124,-144.996,3.370
1789657639.457,1,90,498,8.0,1.56,479.976,-145.910,476.124,-144.996,3.959
1789657639.498,1,96,500,8.0,1.583,480.615,-145.344,476.669,-143.615,4.308
1789657639.539,1,10,493,8.0,0.84,483.371,-146.897,476.669,-143.615,7.463
1789657639.589,1,11,493,8.0,1.457,479.583,-143.504,476.669,-143.615,2.916
1789657639.633,1,15,508,8.0,1.982,482.504,-141.177,477.144,-142.398,5.498
1789657639.769,1,12,489,8.0,1.157,479.906,-142.871,477.679,-141.013,2.901
1789657639.817,1,12,503,8.0,1.189,484.189,-137.160,478.207,-139.625,6.469
1789657639.909,1,14,495,8.0,1.744,483.551,-138.409,478.729,-138.234,4.825
1789657640.142,1,10,498,8.0,0.715,487.273,-134.707,479.747,-135.441,7.561
1789657640.242,1,11,507,8.0,1.26,484.783,-127.791,480.302,-133.871,7.553
1789657640.585,1,10,485,8.0,1.531,488.518,-122.826,481.708,-129.700,9.676
1789657640.886,1,9,501,8.0,1.073,493.940,-121.084,483.024,-125.499,11.775
1789657664.512,1,26,682,8.0,1.425,452.805,222.367,447.706,221.189,5.234
1789657664.601,1,18,569,8.0,1.827,451.689,226.039,447.153,222.518,5.742
1789657664.738,1,26,591,8.0,1.582,452.939,227.277,446.576,223.901,7.203
1789657664.786,1,22,601,8.0,1.434,452.590,225.184,446.021,225.228,6.569
1789657664.883,1,24,611,8.0,1.633,452.644,226.778,445.438,226.609,7.208
1789657664.928,1,26,602,8.0,1.46,451.804,228.606,445.438,226.609,6.672
1789657669.250,0,6,634,8.0,0.828,989.371,361.253,403.947,275.679,591.646
1789657669.302,1,66,637,8.0,1.64,406.960,276.876,402.844,276.697,4.120
1789657669.360,1,67,680,8.0,1.621,406.556,276.937,402.844,276.697,3.719
1789657672.413,1,32,631,8.0,1.344,370.358,306.175,371.901,311.530,5.572
1789657672.853,1,29,583,8.0,1.588,366.383,310.998,368.387,316.096,5.478
1789657672.914,1,32,599,8.0,1.446,364.912,312.417,367.336,317.483,5.616
1789657673.164,1,33,575,8.0,1.52,361.874,314.845,365.620,319.796,6.209
1789657681.649,1,49,287,8.0,1.697,294.390,425.923,289.745,421.146,6.663
1789657681.835,1,43,236,8.0,1.684,290.731,426.922,287.287,422.818,5.357
1789657681.968,1,36,236,8.0,1.553,289.010,427.669,286.129,423.597,4.988
1789657682.012,1,37,223,8.0,1.612,287.925,428.493,284.868,424.439,5.077
1789657682.103,1,38,231,8.0,1.543,288.639,431.157,283.394,425.405,7.784
1789657682.150,1,37,226,8.0,1.674,286.716,430.262,283.394,425.405,5.884
1789657684.339,1,23,229,8.0,1.597,255.857,448.772,252.088,436.952,12.406
1789657684.377,1,24,218,8.0,1.87,253.350,448.700,252.088,436.952,11.816
1789657684.756,1,21,208,8.0,1.558,248.559,443.828,246.144,438.197,6.127
1789657684.798,1,21,200,8.0,1.776,247.570,443.635,244.426,438.556,5.974
1789657684.837,1,20,186,8.0,1.448,246.832,443.266,244.426,438.556,5.288
1789657684.878,1,22,198,8.0,1.442,246.219,443.207,244.426,438.556,4.984
1789657684.998,1,18,198,8.0,1.481,246.313,443.653,241.525,439.158,6.567
1789657685.120,1,21,203,8.0,1.483,243.095,442.902,240.045,439.462,4.597
1789657685.171,1,21,200,8.0,1.299,242.696,442.903,240.045,439.462,4.343
1789657685.211,1,22,209,8.0,1.526,241.819,442.547,238.684,439.741,4.208
1789657685.253,1,21,216,8.0,1.419,241.036,442.681,238.684,439.741,3.765
1789657685.296,1,16,205,8.0,1.031,239.606,441.965,237.204,440.045,3.075
1789657685.337,1,18,204,8.0,1.465,240.202,442.734,237.204,440.045,4.027
1789657685.379,1,19,194,8.0,1.515,239.471,442.572,237.204,440.045,3.394
1789657685.461,1,19,195,8.0,1.51,237.872,441.536,235.783,440.339,2.408
1789657685.545,1,18,197,8.0,1.637,237.710,442.030,234.066,440.696,3.881
1789657685.666,1,15,204,8.0,1.517,235.354,441.404,232.586,441.008,2.795
1789657685.712,1,16,202,8.0,1.692,235.111,441.008,231.166,441.313,3.957
1789657685.751,1,14,194,8.0,1.237,233.275,439.869,231.166,441.313,2.556
1789657685.848,1,15,203,8.0,1.3,232.202,439.247,229.748,441.626,3.418
1789657685.928,1,15,199,8.0,1.603,231.172,439.123,228.330,441.947,4.006
1789657685.966,1,13,190,8.0,1.239,230.047,438.681,228.330,441.947,3.690
1789657686.124,1,15,192,8.0,1.658,228.529,438.340,225.382,442.647,5.335
1789657687.329,1,9,226,8.0,1.238,198.360,426.016,208.036,447.989,24.009
1789657688.747,1,24,254,8.0,1.21,185.721,449.501,188.305,456.155,7.138
1789657688.838,1,24,255,8.0,1.503,183.987,450.240,186.984,456.761,7.177
1789657688.878,1,25,265,8.0,1.145,183.683,451.592,186.984,456.761,6.133
1789657688.924,1,23,257,8.0,1.249,183.047,451.240,185.608,457.394,6.666
1789657688.965,1,27,256,8.0,1.248,183.671,452.646,185.608,457.394,5.128
1789657689.053,1,30,275,8.0,1.421,181.440,453.939,184.234,458.029,4.953
1789657689.095,1,30,260,8.0,1.407,181.193,454.138,182.915,458.639,4.819
1789657689.137,1,29,265,8.0,1.453,181.057,454.575,182.915,458.639,4.468
1789657689.180,1,31,249,8.0,1.618,180.259,454.961,182.915,458.639,4.537
1789657689.264,1,31,245,8.0,1.425,178.924,455.132,181.543,459.276,4.902
1789657689.390,1,31,240,8.0,1.372,177.944,455.160,180.174,459.919,5.256
1789657691.157,1,50,290,8.0,1.673,154.488,469.875,156.547,473.177,3.892
1789657692.496,1,35,337,8.0,1.492,141.829,487.241,139.505,482.920,4.906
1789657692.628,1,37,335,8.0,1.537,140.102,487.855,136.899,484.277,4.802
1789657692.698,1,41,351,8.0,1.464,139.948,489.068,136.899,484.277,5.679
1789657692.761,1,35,341,8.0,1.451,139.056,489.824,135.563,484.956,5.992
1789657692.862,1,41,333,8.0,1.512,137.886,490.608,134.277,485.600,6.173
1789657692.918,1,42,354,8.0,1.554,136.786,492.019,132.985,486.235,6.921
1789657692.971,1,43,345,8.0,1.67,136.087,492.847,132.985,486.235,7.304
1789657696.315,1,49,431,8.0,1.607,85.032,498.560,84.281,494.908,3.729
1789657696.374,1,47,429,8.0,1.534,83.739,498.195,82.788,494.959,3.373
1789657696.427,1,43,434,8.0,1.443,82.970,497.725,81.355,495.008,3.160
1789657696.484,1,50,411,8.0,1.662,82.697,497.448,81.355,495.008,2.785
1789657696.550,1,47,424,8.0,1.735,81.140,497.005,79.921,495.058,2.297
1789657696.606,1,48,446,8.0,1.727,79.819,496.570,79.921,495.058,1.515
1789657696.661,1,52,431,8.0,1.811,79.613,496.275,78.428,495.110,1.662
1789657696.716,1,46,426,8.0,1.609,78.551,496.256,78.428,495.110,1.152
1789657696.772,1,45,433,8.0,1.597,77.890,496.397,77.054,495.158,1.495
1789657696.828,1,49,422,8.0,1.554,77.284,496.348,75.321,495.216,2.266
1789657696.879,1,41,425,8.0,1.414,76.198,496.306,75.321,495.216,1.399
1789657696.938,1,48,424,8.0,1.744,75.852,496.357,73.946,495.260,2.199
1789657696.992,1,48,415,8.0,1.701,75.016,496.593,73.946,495.260,1.709
1789657697.051,1,39,419,8.0,1.878,72.945,496.149,72.451,495.305,0.978
1789657697.120,1,41,436,8.0,1.39,72.278,496.496,71.076,495.345,1.664
1789657697.179,1,43,431,8.0,1.827,71.593,496.234,71.076,495.345,1.028
1789657697.238,1,42,417,8.0,1.708,70.433,496.512,69.401,495.392,1.523
1789657697.295,1,41,426,8.0,1.909,69.670,496.165,69.401,495.392,0.818
1789657697.345,1,40,429,8.0,1.888,68.599,496.168,67.966,495.431,0.972
1789657697.402,1,42,411,8.0,1.682,68.537,496.465,67.966,495.431,1.181
1789657697.457,1,40,436,8.0,1.65,67.211,496.203,66.591,495.467,0.962
1789657697.516,1,37,418,8.0,1.339,66.151,496.342,66.591,495.467,0.979
1789657697.571,1,40,443,8.0,1.758,64.873,495.850,65.095,495.505,0.410
1789657697.626,1,43,446,8.0,1.482,65.023,496.657,63.361,495.550,1.997
1789657697.678,1,47,445,8.0,1.729,63.778,495.812,63.361,495.550,0.492
1789657697.806,1,44,442,8.0,1.663,63.150,495.813,61.866,495.589,1.304
