phase,t_s,t_unix,error_m,est_n,est_e,truth_n,truth_e
denied,52.887,1789657553.474,8.0804,-495.844,-140.304,-502.850,-144.331
denied,52.987,1789657553.574,6.6799,-496.804,-142.576,-502.562,-145.963
denied,53.087,1789657553.674,5.6069,-497.377,-144.586,-502.287,-147.293
denied,53.188,1789657553.775,4.8282,-497.680,-146.557,-501.899,-148.904
denied,53.287,1789657553.874,4.3017,-497.740,-148.242,-501.500,-150.333
denied,53.387,1789657553.974,3.8937,-497.599,-149.932,-501.070,-151.696
denied,53.487,1789657554.074,3.6711,-497.317,-151.393,-500.594,-153.048
denied,53.587,1789657554.174,3.5211,-496.885,-152.894,-500.074,-154.387
denied,53.688,1789657554.275,3.4568,-496.392,-154.220,-499.511,-155.711
denied,53.787,1789657554.374,3.4424,-495.774,-155.610,-498.779,-157.289
denied,53.888,1789657554.475,3.4570,-495.139,-156.859,-498.107,-158.631
denied,53.987,1789657554.574,3.4913,-494.391,-158.185,-497.430,-159.903
denied,54.087,1789657554.674,3.5435,-493.657,-159.386,-496.724,-161.160
denied,54.187,1789657554.774,3.6054,-492.890,-160.568,-495.993,-162.403
denied,54.287,1789657554.874,3.6819,-492.029,-161.829,-495.240,-163.633
denied,54.392,1789657554.979,3.7528,-491.210,-162.979,-494.271,-165.151
denied,54.487,1789657555.074,3.8259,-490.372,-164.118,-493.477,-166.353
denied,54.587,1789657555.174,3.8697,-489.414,-165.452,-492.668,-167.545
denied,54.687,1789657555.273,3.8353,-488.574,-166.723,-491.813,-168.776
denied,54.787,1789657555.374,3.7283,-487.849,-167.935,-491.017,-169.900
denied,54.888,1789657555.475,3.6335,-487.030,-169.221,-490.037,-171.260
denied,54.995,1789657555.582,3.5718,-486.189,-170.497,-489.260,-172.322
denied,55.094,1789657555.681,3.5070,-485.395,-171.663,-488.369,-173.522
denied,55.194,1789657555.781,3.4512,-484.581,-172.816,-487.363,-174.859
denied,55.294,1789657555.881,1.1677,-485.666,-175.188,-486.459,-176.046
denied,55.395,1789657555.982,0.7730,-486.392,-177.211,-485.623,-177.134
denied,55.494,1789657556.081,2.6870,-487.177,-179.407,-484.745,-178.265
denied,55.594,1789657556.181,5.0863,-488.357,-181.728,-483.817,-179.434
denied,55.694,1789657556.281,7.0545,-489.105,-183.925,-482.912,-180.545
denied,55.794,1789657556.381,8.4592,-489.347,-185.681,-481.794,-181.871
denied,55.894,1789657556.481,10.1037,-489.725,-187.739,-480.805,-182.994
denied,55.994,1789657556.581,11.7804,-490.136,-189.764,-479.831,-184.055
denied,56.094,1789657556.681,13.2022,-490.261,-191.739,-478.877,-185.053
denied,56.199,1789657556.786,14.1985,-490.057,-193.309,-477.815,-186.117
denied,56.300,1789657556.886,14.9508,-489.590,-194.809,-476.771,-187.116
denied,56.400,1789657556.987,15.5166,-488.999,-196.057,-475.658,-188.133
denied,56.500,1789657557.087,16.0637,-488.234,-197.297,-474.290,-189.320
denied,56.600,1789657557.187,16.4229,-487.450,-198.363,-473.173,-190.245
denied,56.699,1789657557.286,16.7095,-486.539,-199.451,-472.038,-191.148
denied,56.800,1789657557.387,16.9856,-485.662,-200.407,-470.886,-192.030
denied,56.901,1789657557.488,17.2149,-484.685,-201.402,-469.720,-192.893
denied,56.999,1789657557.586,17.5674,-483.766,-202.289,-468.344,-193.877
denied,57.100,1789657557.687,17.7382,-482.696,-203.248,-467.152,-194.703
denied,57.200,1789657557.787,17.8631,-481.632,-204.126,-466.001,-195.480
denied,57.299,1789657557.886,17.9671,-480.428,-205.069,-464.740,-196.311
denied,57.399,1789657557.986,18.0872,-479.272,-205.933,-463.473,-197.128
denied,57.500,1789657558.087,18.1080,-477.990,-206.854,-462.250,-197.901
denied,57.600,1789657558.187,18.1939,-476.786,-207.693,-460.971,-198.698
denied,57.700,1789657558.287,18.3336,-475.470,-208.588,-459.484,-199.612
denied,57.799,1789657558.386,18.3906,-474.234,-209.402,-458.200,-200.394
denied,57.901,1789657558.488,18.3819,-472.995,-210.202,-457.019,-201.110
denied,58.000,1789657558.587,18.3321,-471.646,-211.050,-455.786,-201.856
denied,58.100,1789657558.686,18.4411,-470.395,-211.816,-454.350,-202.726
denied,58.205,1789657558.791,18.3296,-469.034,-212.627,-453.172,-203.443
denied,58.305,1789657558.892,18.2575,-467.769,-213.358,-451.997,-204.161
denied,58.404,1789657558.991,18.2760,-466.394,-214.130,-450.520,-205.073
denied,58.505,1789657559.092,18.1948,-465.124,-214.819,-449.303,-205.834
denied,58.604,1789657559.191,18.0355,-463.750,-215.551,-448.091,-206.602
denied,58.705,1789657559.291,17.9158,-462.478,-216.200,-446.885,-207.377
denied,58.805,1789657559.392,17.7511,-461.112,-216.890,-445.637,-208.195
denied,58.905,1789657559.492,17.6429,-459.864,-217.512,-444.396,-209.025
denied,59.004,1789657559.591,17.4238,-458.518,-218.163,-443.215,-209.833
denied,59.104,1789657559.691,17.4091,-457.292,-218.767,-441.799,-210.826
denied,59.205,1789657559.792,17.1696,-455.968,-219.398,-440.639,-211.663
denied,59.304,1789657559.891,16.9994,-454.761,-219.981,-439.490,-212.514
denied,59.404,1789657559.991,16.8267,-453.569,-220.564,-438.353,-213.380
denied,59.505,1789657560.092,16.5861,-452.298,-221.191,-437.229,-214.261
denied,59.605,1789657560.192,16.4468,-451.148,-221.771,-436.072,-215.196
denied,59.705,1789657560.292,16.3594,-449.929,-222.405,-434.750,-216.303
denied,59.804,1789657560.391,16.2360,-448.821,-223.003,-433.628,-217.277
denied,59.905,1789657560.492,16.0863,-447.732,-223.596,-432.567,-218.228
denied,60.004,1789657560.591,15.8914,-446.585,-224.263,-431.523,-219.196
denied,60.105,1789657560.692,15.7328,-445.543,-224.869,-430.538,-220.140
denied,60.204,1789657560.791,15.7017,-444.448,-225.553,-429.318,-221.352
denied,60.305,1789657560.892,15.6391,-443.462,-226.200,-428.288,-222.416
denied,60.405,1789657560.992,15.5190,-442.417,-226.908,-427.277,-223.497
denied,60.505,1789657561.092,15.4855,-441.480,-227.590,-426.287,-224.596
denied,60.605,1789657561.192,15.3648,-440.487,-228.326,-425.354,-225.667
denied,60.704,1789657561.291,15.3201,-439.590,-229.029,-424.440,-226.752
denied,60.804,1789657561.391,15.2603,-438.718,-229.743,-423.581,-227.807
denied,60.905,1789657561.492,15.2040,-437.792,-230.515,-422.667,-228.967
denied,61.005,1789657561.592,15.3521,-436.955,-231.248,-421.631,-230.332
denied,61.105,1789657561.691,15.3541,-436.138,-231.994,-420.793,-231.476
denied,61.205,1789657561.792,15.2950,-435.266,-232.821,-419.972,-232.633
denied,61.304,1789657561.891,15.3065,-434.473,-233.579,-419.168,-233.801
denied,61.404,1789657561.991,15.3317,-433.701,-234.362,-418.381,-234.982
denied,61.508,1789657562.095,15.4677,-432.873,-235.213,-417.452,-236.423
denied,61.606,1789657562.192,15.4039,-432.062,-236.066,-416.732,-237.577
denied,61.705,1789657562.292,15.3520,-431.246,-237.021,-415.996,-238.791
denied,61.805,1789657562.392,15.5215,-430.458,-237.846,-415.127,-240.272
denied,61.905,1789657562.492,15.4356,-429.746,-238.649,-414.540,-241.301
denied,62.005,1789657562.592,15.5441,-429.051,-239.495,-413.820,-242.596
denied,62.105,1789657562.692,15.5413,-428.303,-240.428,-413.143,-243.849
denied,62.206,1789657562.793,15.8154,-427.623,-241.296,-412.342,-245.374
denied,62.305,1789657562.892,15.8283,-426.901,-242.252,-411.695,-246.645
denied,62.410,1789657562.997,15.9127,-426.237,-243.144,-411.059,-247.924
denied,62.510,1789657563.097,16.0469,-425.584,-244.040,-410.410,-249.263
denied,62.611,1789657563.198,16.3149,-424.941,-244.954,-409.699,-250.772
denied,62.716,1789657563.303,16.2971,-424.196,-246.046,-409.076,-252.127
denied,62.811,1789657563.398,16.4118,-423.562,-246.942,-408.488,-253.434
denied,62.910,1789657563.497,16.5772,-422.938,-247.852,-407.887,-254.801
denied,63.010,1789657563.597,16.6096,-422.266,-248.874,-407.320,-256.120
denied,63.114,1789657563.701,16.7250,-421.655,-249.835,-406.761,-257.444
denied,63.234,1789657563.821,16.8096,-421.000,-250.880,-406.189,-258.828
denied,63.335,1789657563.922,16.9251,-420.398,-251.864,-405.647,-260.162
denied,63.434,1789657564.021,17.0060,-419.755,-252.945,-405.091,-261.557
denied,63.534,1789657564.121,17.3629,-419.167,-253.958,-404.456,-263.181
denied,63.642,1789657564.228,17.3472,-418.531,-255.060,-403.959,-264.472
denied,63.742,1789657564.329,17.4672,-417.950,-256.090,-403.447,-265.824
denied,63.841,1789657564.428,17.5484,-417.324,-257.213,-402.919,-267.235
denied,63.941,1789657564.528,17.6665,-416.747,-258.260,-402.418,-268.593
denied,64.042,1789657564.629,17.9433,-416.129,-259.413,-401.818,-270.237
denied,64.142,1789657564.729,18.0611,-415.559,-260.481,-401.327,-271.601
denied,64.241,1789657564.828,18.1352,-414.942,-261.648,-400.819,-273.023
denied,64.341,1789657564.928,18.2000,-414.377,-262.732,-400.354,-274.334
denied,64.442,1789657565.028,18.2697,-413.765,-263.918,-399.853,-275.760
denied,64.541,1789657565.128,18.4373,-413.200,-265.013,-399.354,-277.187
denied,64.645,1789657565.232,18.7237,-412.590,-266.203,-398.777,-278.844
denied,64.744,1789657565.331,18.8403,-412.026,-267.308,-398.302,-280.216
denied,64.842,1789657565.429,18.9703,-411.415,-268.505,-397.788,-281.703
denied,64.942,1789657565.528,19.0931,-410.853,-269.613,-397.315,-283.076
denied,65.041,1789657565.628,19.1702,-410.242,-270.818,-396.822,-284.507
denied,65.143,1789657565.730,19.2904,-409.678,-271.937,-396.349,-285.882
denied,65.242,1789657565.829,19.3105,-409.066,-273.153,-395.875,-287.256
denied,65.342,1789657565.929,19.4823,-408.499,-274.285,-395.380,-288.688
denied,65.443,1789657566.030,19.5434,-407.931,-275.420,-394.924,-290.006
denied,65.541,1789657566.128,19.5564,-407.293,-276.710,-394.427,-291.438
denied,65.642,1789657566.229,19.8656,-406.670,-277.925,-393.848,-293.099
denied,65.743,1789657566.330,19.9839,-406.095,-279.066,-393.367,-294.473
denied,65.851,1789657566.438,20.0480,-405.472,-280.316,-392.863,-295.903
denied,65.941,1789657566.528,20.2667,-404.943,-281.374,-392.377,-297.275
denied,66.042,1789657566.629,20.4409,-404.362,-282.526,-391.868,-298.704
denied,66.142,1789657566.729,20.4041,-403.684,-283.873,-391.355,-300.131
denied,66.242,1789657566.829,20.7616,-403.097,-285.019,-390.776,-301.729
denied,66.342,1789657566.929,20.7931,-402.453,-286.243,-390.276,-303.097
denied,66.442,1789657567.028,20.9702,-401.856,-287.399,-389.750,-304.522
denied,66.542,1789657567.129,21.0362,-401.207,-288.658,-389.220,-305.945
denied,66.642,1789657567.229,21.1561,-400.602,-289.815,-388.707,-307.310
denied,66.742,1789657567.329,21.2217,-399.992,-290.966,-388.211,-308.617
denied,66.842,1789657567.428,21.4732,-399.326,-292.217,-387.601,-310.206
denied,66.942,1789657567.528,21.5932,-398.705,-293.374,-387.072,-311.566
denied,67.042,1789657567.629,21.6040,-398.026,-294.628,-386.539,-312.925
denied,67.141,1789657567.728,21.7886,-397.396,-295.781,-385.977,-314.338
denied,67.241,1789657567.828,21.9770,-396.760,-296.930,-385.410,-315.750
denied,67.342,1789657567.929,22.0476,-396.121,-298.077,-384.883,-317.046
denied,67.442,1789657568.029,22.4179,-395.474,-299.225,-384.234,-318.622
denied,67.542,1789657568.128,22.4412,-394.767,-300.464,-383.672,-319.971
denied,67.641,1789657568.228,22.6346,-394.109,-301.608,-383.079,-321.373
denied,67.741,1789657568.328,22.6594,-393.391,-302.844,-382.505,-322.718
denied,67.841,1789657568.428,22.6385,-392.607,-304.169,-381.900,-324.115
denied,67.941,1789657568.528,22.7847,-391.933,-305.297,-381.313,-325.455
denied,68.042,1789657568.629,23.1710,-391.254,-306.429,-380.619,-327.015
denied,68.143,1789657568.730,23.3728,-390.559,-307.557,-379.993,-328.406
denied,68.242,1789657568.829,23.3977,-389.800,-308.786,-379.386,-329.738
denied,68.342,1789657568.929,23.7770,-389.092,-309.918,-378.669,-331.289
denied,68.442,1789657569.028,23.5616,-388.316,-311.137,-378.152,-332.394
denied,68.541,1789657569.128,24.0130,-387.603,-312.258,-377.394,-333.993
denied,68.642,1789657569.229,24.2229,-386.882,-313.374,-376.734,-335.369
denied,68.741,1789657569.328,24.3255,-386.090,-314.577,-376.066,-336.741
denied,68.842,1789657569.428,24.4792,-385.362,-315.686,-375.419,-338.055
denied,68.942,1789657569.529,24.5345,-384.572,-316.877,-374.766,-339.367
denied,69.042,1789657569.629,24.7033,-383.835,-317.969,-374.106,-340.676
denied,69.142,1789657569.729,24.8667,-383.092,-319.066,-373.439,-341.982
denied,69.243,1789657569.830,24.9806,-382.268,-320.249,-372.738,-343.340
denied,69.342,1789657569.929,25.2092,-381.505,-321.334,-372.030,-344.695
denied,69.442,1789657570.028,25.5760,-380.679,-322.508,-371.200,-346.263
denied,69.542,1789657570.129,25.7465,-379.902,-323.587,-370.507,-347.558
denied,69.642,1789657570.229,25.9206,-379.122,-324.660,-369.807,-348.849
denied,69.742,1789657570.328,26.0019,-378.242,-325.861,-369.071,-350.192
denied,69.841,1789657570.428,26.0732,-377.381,-327.015,-368.358,-351.477
denied,69.943,1789657570.530,26.3145,-376.580,-328.075,-367.609,-352.814
denied,70.042,1789657570.629,26.3941,-375.716,-329.221,-366.884,-354.093
denied,70.142,1789657570.729,25.2159,-375.046,-331.839,-366.123,-355.423
denied,70.241,1789657570.828,21.4397,-374.464,-337.342,-365.356,-356.751
denied,70.341,1789657570.928,18.5441,-373.854,-342.299,-364.459,-358.287
denied,70.442,1789657571.029,16.1655,-373.114,-346.411,-363.700,-359.552
denied,70.543,1789657571.129,14.6653,-372.366,-349.668,-362.885,-360.857
denied,70.641,1789657571.228,12.4731,-371.508,-353.932,-362.075,-362.093
denied,70.743,1789657571.330,11.0664,-370.885,-358.012,-361.198,-363.362
denied,70.842,1789657571.429,10.3407,-370.223,-361.758,-360.283,-364.609
denied,70.942,1789657571.529,10.2126,-369.493,-364.450,-359.368,-365.782
denied,71.042,1789657571.628,10.1922,-368.603,-366.766,-358.412,-366.928
denied,71.141,1789657571.728,10.5078,-367.710,-368.496,-357.205,-368.274
denied,71.242,1789657571.829,10.5803,-366.679,-370.048,-356.119,-369.397
denied,71.342,1789657571.929,10.6706,-365.679,-371.256,-355.040,-370.440
denied,71.442,1789657572.029,10.7038,-364.641,-372.302,-353.975,-371.407
denied,71.541,1789657572.128,10.6431,-363.435,-373.327,-352.833,-372.382
denied,71.643,1789657572.230,10.6635,-362.245,-374.223,-351.617,-373.363
denied,71.744,1789657572.331,11.0109,-361.125,-374.953,-350.124,-374.494
denied,71.842,1789657572.429,11.0173,-359.872,-375.671,-348.858,-375.401
denied,71.942,1789657572.529,11.0636,-358.690,-376.285,-347.626,-376.244
denied,72.043,1789657572.630,11.0087,-357.389,-376.910,-346.382,-377.062
denied,72.143,1789657572.729,11.1019,-356.168,-377.454,-345.074,-377.889
denied,72.242,1789657572.828,11.0368,-354.828,-378.014,-343.810,-378.662
denied,72.341,1789657572.928,11.0804,-353.583,-378.511,-342.540,-379.417
denied,72.442,1789657573.029,11.0843,-352.235,-379.031,-341.211,-380.186
denied,72.542,1789657573.129,11.2074,-350.996,-379.528,-339.878,-380.938
denied,72.643,1789657573.229,11.4631,-349.663,-380.083,-338.328,-381.795
denied,72.742,1789657573.329,11.5434,-348.432,-380.607,-337.044,-382.492
denied,72.841,1789657573.428,11.6291,-347.206,-381.132,-335.758,-383.181
denied,72.942,1789657573.529,11.6098,-345.883,-381.721,-334.473,-383.862
denied,73.041,1789657573.628,11.7624,-344.664,-382.246,-333.133,-384.565
denied,73.142,1789657573.729,11.8116,-343.346,-382.809,-331.793,-385.263
denied,73.241,1789657573.828,11.9695,-342.130,-383.327,-330.452,-385.956
denied,73.342,1789657573.928,12.0227,-340.813,-383.882,-329.112,-386.645
denied,73.442,1789657574.029,12.1864,-339.597,-384.390,-327.772,-387.333
denied,73.542,1789657574.129,12.1842,-338.280,-384.934,-326.485,-387.991
denied,73.642,1789657574.229,12.3526,-337.064,-385.431,-325.145,-388.676
denied,73.742,1789657574.329,12.5949,-335.749,-385.964,-323.644,-389.444
denied,73.842,1789657574.429,12.7751,-334.539,-386.452,-322.305,-390.131
denied,73.942,1789657574.528,12.7884,-333.225,-386.976,-321.020,-390.792
denied,74.042,1789657574.628,12.9125,-332.012,-387.455,-319.734,-391.455
denied,74.142,1789657574.729,13.1007,-330.799,-387.932,-318.396,-392.149
denied,74.242,1789657574.829,13.0648,-329.486,-388.444,-317.166,-392.791
denied,74.341,1789657574.928,13.3302,-328.171,-388.955,-315.669,-393.578
denied,74.442,1789657575.028,13.4682,-326.958,-389.424,-314.386,-394.257
denied,74.542,1789657575.129,13.4957,-325.637,-389.931,-313.106,-394.941
denied,74.641,1789657575.228,13.6976,-324.421,-390.400,-311.773,-395.660
denied,74.742,1789657575.328,13.7975,-323.107,-390.908,-310.443,-396.385
denied,74.842,1789657575.428,14.0096,-321.895,-391.375,-309.116,-397.116
denied,74.942,1789657575.529,14.2973,-320.583,-391.887,-307.632,-397.944
denied,75.042,1789657575.629,14.3949,-319.373,-392.359,-306.416,-398.631
denied,75.142,1789657575.729,14.5088,-318.064,-392.874,-305.098,-399.384
denied,75.242,1789657575.829,14.6116,-316.859,-393.356,-303.889,-400.085
denied,75.341,1789657575.928,14.9120,-315.552,-393.879,-302.421,-400.947
denied,75.442,1789657576.029,15.1909,-314.452,-394.325,-301.168,-401.693
denied,75.542,1789657576.129,15.1993,-313.157,-394.858,-299.970,-402.416
denied,75.641,1789657576.228,15.6817,-311.964,-395.354,-298.467,-403.337
denied,75.742,1789657576.329,15.7579,-310.676,-395.895,-297.227,-404.107
denied,75.842,1789657576.429,16.0528,-309.589,-396.352,-295.993,-404.886
denied,75.942,1789657576.529,16.2020,-308.310,-396.896,-294.712,-405.705
denied,76.041,1789657576.628,16.4614,-307.133,-397.400,-293.437,-406.532
denied,76.142,1789657576.729,16.5571,-305.861,-397.953,-292.218,-407.334
denied,76.241,1789657576.828,17.0033,-304.689,-398.469,-290.802,-408.280
denied,76.342,1789657576.929,17.1071,-303.427,-399.032,-289.595,-409.098
denied,76.442,1789657577.029,17.3127,-302.264,-399.565,-288.392,-409.924
denied,76.542,1789657577.129,17.5269,-301.107,-400.095,-287.196,-410.758
denied,76.644,1789657577.231,17.9382,-299.857,-400.685,-285.757,-411.774
denied,76.743,1789657577.330,18.0890,-298.705,-401.236,-284.622,-412.588
denied,76.841,1789657577.428,18.2001,-297.462,-401.839,-283.443,-413.445
denied,76.942,1789657577.529,18.4768,-296.321,-402.405,-282.220,-414.344
denied,77.041,1789657577.628,18.5973,-295.093,-403.020,-281.052,-415.214
denied,77.142,1789657577.729,18.7644,-293.966,-403.593,-279.937,-416.055
denied,77.242,1789657577.829,19.0369,-292.610,-404.301,-278.538,-417.123
denied,77.342,1789657577.929,19.1039,-291.399,-404.941,-277.433,-417.977
denied,77.443,1789657578.030,19.3343,-290.278,-405.532,-276.285,-418.874
denied,77.542,1789657578.129,19.6952,-289.066,-406.193,-274.952,-419.929
denied,77.642,1789657578.228,19.9265,-287.956,-406.801,-273.813,-420.839
denied,77.742,1789657578.328,20.1619,-286.850,-407.412,-272.679,-421.754
denied,77.842,1789657578.428,20.2967,-285.656,-408.083,-271.549,-422.676
denied,77.942,1789657578.529,20.7810,-284.560,-408.701,-270.236,-423.757
denied,78.042,1789657578.629,20.9606,-283.464,-409.328,-269.161,-424.650
denied,78.141,1789657578.728,21.1624,-282.282,-410.014,-267.995,-425.627
denied,78.242,1789657578.829,21.4656,-281.192,-410.652,-266.834,-426.608
denied,78.342,1789657578.929,21.8582,-280.016,-411.340,-265.536,-427.713
denied,78.441,1789657579.028,22.1610,-278.932,-411.991,-264.380,-428.705
denied,78.542,1789657579.129,22.3031,-277.755,-412.700,-263.273,-429.662
denied,78.641,1789657579.228,22.5458,-276.669,-413.357,-262.169,-430.622
denied,78.742,1789657579.329,22.7854,-275.586,-414.026,-261.067,-431.586
denied,78.841,1789657579.428,22.9296,-274.412,-414.746,-259.966,-432.553
denied,78.941,1789657579.528,23.2311,-273.329,-415.419,-258.822,-433.564
denied,79.043,1789657579.630,23.6142,-272.158,-416.152,-257.543,-434.700
denied,79.142,1789657579.729,23.8565,-271.077,-416.831,-256.449,-435.677
denied,79.241,1789657579.828,23.9958,-269.905,-417.574,-255.355,-436.655
denied,79.342,1789657579.929,24.1343,-268.735,-418.322,-254.263,-437.636
denied,79.441,1789657580.028,24.5821,-267.569,-419.064,-252.946,-438.824
denied,79.541,1789657580.128,24.8959,-266.496,-419.746,-251.810,-439.849
denied,79.642,1789657580.229,25.0400,-265.332,-420.500,-250.721,-440.835
denied,79.742,1789657580.329,24.4530,-263.760,-421.864,-249.633,-441.823
denied,79.842,1789657580.428,21.3122,-260.610,-425.316,-248.500,-442.852
denied,79.942,1789657580.529,18.7899,-257.893,-428.247,-247.412,-443.842
denied,80.042,1789657580.629,17.2761,-255.631,-430.559,-246.140,-444.995
denied,80.141,1789657580.728,15.9372,-253.537,-432.562,-244.996,-446.018
denied,80.242,1789657580.829,15.1608,-251.834,-434.079,-243.887,-446.990
denied,80.342,1789657580.929,14.5109,-250.159,-435.464,-242.768,-447.952
denied,80.442,1789657581.028,14.3351,-248.721,-436.572,-241.541,-448.980
denied,80.541,1789657581.128,13.9428,-247.245,-437.771,-240.397,-449.917
denied,80.641,1789657581.228,12.8158,-245.964,-439.998,-239.194,-450.880
denied,80.742,1789657581.329,12.0305,-244.707,-441.786,-238.029,-451.792
denied,80.842,1789657581.429,11.4322,-243.362,-443.365,-236.802,-452.728
denied,80.941,1789657581.528,10.6956,-242.187,-445.175,-235.612,-453.610
denied,81.042,1789657581.629,9.8165,-240.975,-447.508,-234.205,-454.617
denied,81.141,1789657581.728,9.3270,-239.825,-449.210,-232.933,-455.495
denied,81.242,1789657581.828,8.8628,-238.552,-450.698,-231.696,-456.315
denied,81.341,1789657581.928,8.7004,-237.356,-451.830,-230.442,-457.112
denied,81.441,1789657582.028,8.5727,-236.044,-452.864,-229.118,-457.915
denied,81.542,1789657582.129,8.7127,-234.667,-453.771,-227.561,-458.812
denied,81.641,1789657582.228,8.7097,-233.437,-454.489,-226.312,-459.497
denied,81.741,1789657582.328,8.7483,-232.101,-455.190,-224.941,-460.216
denied,81.841,1789657582.428,8.8800,-230.870,-455.763,-223.614,-460.882
denied,81.941,1789657582.528,8.9847,-229.537,-456.333,-222.223,-461.552
denied,82.042,1789657582.629,9.2053,-228.297,-456.826,-220.823,-462.200
denied,82.141,1789657582.728,9.2619,-226.944,-457.328,-219.473,-462.802
denied,82.241,1789657582.828,9.4845,-225.683,-457.767,-218.060,-463.411
denied,82.342,1789657582.929,9.6016,-224.312,-458.225,-216.642,-464.001
denied,82.441,1789657583.028,9.8279,-223.045,-458.630,-215.220,-464.576
denied,82.542,1789657583.129,9.9489,-221.670,-459.056,-213.795,-465.136
denied,82.642,1789657583.229,10.1088,-220.388,-459.436,-212.423,-465.661
denied,82.742,1789657583.328,10.4517,-218.989,-459.834,-210.762,-466.281
denied,82.842,1789657583.429,10.6015,-217.689,-460.192,-209.385,-466.783
denied,82.942,1789657583.529,10.6475,-216.274,-460.567,-208.006,-467.276
denied,83.041,1789657583.628,10.8499,-214.960,-460.904,-206.568,-467.781
denied,83.141,1789657583.728,10.9516,-213.535,-461.259,-205.128,-468.278
denied,83.241,1789657583.828,11.1537,-212.214,-461.579,-203.687,-468.768
denied,83.341,1789657583.928,11.1470,-210.786,-461.917,-202.360,-469.214
denied,83.441,1789657584.028,11.5756,-209.460,-462.222,-200.685,-469.771
denied,83.542,1789657584.129,11.6283,-208.027,-462.545,-199.298,-470.228
denied,83.641,1789657584.228,11.7823,-206.701,-462.837,-197.911,-470.682
denied,83.742,1789657584.328,11.8964,-205.265,-463.147,-196.464,-471.152
denied,83.841,1789657584.428,12.0542,-203.933,-463.427,-195.075,-471.602
denied,83.942,1789657584.529,12.3394,-202.492,-463.725,-193.453,-472.125
denied,84.041,1789657584.628,12.4992,-201.152,-463.994,-192.062,-472.574
denied,84.142,1789657584.729,12.6255,-199.708,-464.284,-190.613,-473.041
denied,84.242,1789657584.829,12.7977,-198.378,-464.548,-189.222,-473.490
denied,84.341,1789657584.928,12.8783,-196.935,-464.833,-187.830,-473.941
denied,84.441,1789657585.028,13.0580,-195.604,-465.092,-186.439,-474.393
denied,84.541,1789657585.128,13.1097,-194.120,-465.460,-184.989,-474.866
denied,84.643,1789657585.230,12.7006,-192.367,-466.596,-183.248,-475.436
denied,84.741,1789657585.328,12.0962,-190.617,-467.556,-181.856,-475.897
denied,84.842,1789657585.429,11.6464,-188.977,-468.411,-180.464,-476.358
denied,84.941,1789657585.528,10.7406,-186.985,-469.558,-179.070,-476.819
denied,85.041,1789657585.628,10.3389,-185.307,-470.387,-177.617,-477.298
denied,85.141,1789657585.728,9.5112,-183.368,-471.480,-176.219,-477.754
denied,85.243,1789657585.830,9.2873,-181.667,-472.360,-174.527,-478.299
denied,85.341,1789657585.928,8.4807,-179.767,-473.471,-173.124,-478.744
denied,85.444,1789657586.030,7.3251,-177.769,-474.952,-171.776,-479.164
denied,85.541,1789657586.128,5.9323,-175.541,-476.695,-170.366,-479.596
denied,85.641,1789657586.228,5.0206,-173.555,-478.171,-168.894,-480.036
denied,85.741,1789657586.328,4.2761,-171.617,-479.383,-167.476,-480.447
denied,85.841,1789657586.428,4.2679,-169.967,-480.242,-165.754,-480.924
denied,85.941,1789657586.528,4.0288,-168.350,-481.158,-164.324,-481.300
denied,86.042,1789657586.629,3.8117,-166.688,-481.945,-162.887,-481.660
denied,86.141,1789657586.728,3.8004,-165.209,-482.537,-161.446,-482.003
denied,86.241,1789657586.828,3.7930,-163.671,-483.023,-159.940,-482.342
denied,86.341,1789657586.928,3.8670,-162.286,-483.387,-158.490,-482.650
denied,86.442,1789657587.029,3.9102,-160.812,-483.714,-156.976,-482.954
denied,86.542,1789657587.129,4.3075,-159.470,-483.968,-155.217,-483.286
denied,86.642,1789657587.229,4.3234,-158.032,-484.206,-153.759,-483.546
denied,86.741,1789657587.328,4.5162,-156.716,-484.398,-152.239,-483.804
denied,86.842,1789657587.429,4.6125,-155.300,-484.583,-150.718,-484.049
denied,86.941,1789657587.528,4.8222,-153.998,-484.730,-149.197,-484.285
denied,87.041,1789657587.628,4.8363,-152.559,-484.866,-147.736,-484.502
denied,87.142,1789657587.729,4.9400,-151.209,-484.972,-146.276,-484.712
denied,87.241,1789657587.828,4.9815,-149.735,-485.072,-144.756,-484.923
denied,87.341,1789657587.928,5.1235,-148.359,-485.153,-143.235,-485.129
denied,87.442,1789657588.029,5.2581,-146.973,-485.225,-141.716,-485.329
denied,87.541,1789657588.128,5.4544,-145.463,-485.300,-140.015,-485.550
denied,87.641,1789657588.228,5.5220,-144.067,-485.363,-138.558,-485.737
denied,87.742,1789657588.328,5.5376,-142.555,-485.424,-137.041,-485.930
denied,87.842,1789657588.429,5.6084,-141.158,-485.478,-135.585,-486.114
denied,87.942,1789657588.529,5.6276,-139.645,-485.539,-134.070,-486.307
denied,88.041,1789657588.628,5.7605,-138.245,-485.593,-132.556,-486.501
denied,88.142,1789657588.729,5.7273,-136.737,-485.655,-131.103,-486.688
denied,88.242,1789657588.828,5.6774,-135.225,-485.798,-129.651,-486.878
denied,88.341,1789657588.928,5.7796,-133.567,-485.991,-127.896,-487.111
denied,88.443,1789657589.030,5.5463,-131.902,-486.319,-126.444,-487.307
denied,88.542,1789657589.128,5.2295,-130.153,-486.660,-124.993,-487.506
denied,88.641,1789657589.228,5.2042,-128.623,-486.918,-123.480,-487.717
