phase,t_s,error_m,est_n,est_e,truth_n,truth_e
denied,56.108,85.7918,475.895,-160.286,557.353,-187.208
denied,56.208,86.1270,476.252,-158.957,558.058,-185.895
denied,56.308,86.4653,476.650,-157.521,558.790,-184.526
denied,56.408,86.7949,477.009,-156.192,559.491,-183.211
denied,56.515,87.1572,477.381,-154.745,560.220,-181.840
denied,56.617,87.4748,477.739,-153.416,560.889,-180.578
denied,56.715,87.8763,478.111,-151.969,561.732,-178.986
denied,56.815,88.1841,478.446,-150.630,562.311,-177.887
denied,56.915,88.5919,478.820,-149.183,563.180,-176.238
denied,57.016,88.9416,479.153,-147.841,563.873,-174.918
denied,57.115,89.3147,479.508,-146.386,564.594,-173.542
denied,57.215,89.6533,479.814,-145.156,565.285,-172.221
denied,57.315,90.0188,480.163,-143.700,565.974,-170.899
denied,57.416,90.3909,480.505,-142.240,566.663,-169.576
denied,57.518,90.7549,480.829,-140.894,567.379,-168.198
denied,57.620,91.1747,481.141,-139.544,568.209,-166.598
denied,57.721,91.5509,481.475,-138.080,568.895,-165.273
denied,57.820,91.9214,481.791,-136.732,569.608,-163.892
denied,57.925,92.2942,482.116,-135.265,570.263,-162.621
denied,58.025,92.6620,482.422,-133.912,570.946,-161.294
denied,58.126,93.0807,482.731,-132.560,571.770,-159.690
denied,58.225,93.4676,483.051,-131.089,572.451,-158.362
denied,58.325,93.8248,483.354,-129.735,573.103,-157.089
denied,58.425,94.1992,483.650,-128.379,573.782,-155.761
denied,58.525,94.6444,483.963,-126.908,574.601,-154.155
denied,58.625,95.0158,484.260,-125.553,575.277,-152.826
denied,58.725,95.3791,484.575,-124.083,575.897,-151.607
denied,58.825,95.8318,484.855,-122.725,576.740,-149.945
denied,58.925,96.2021,485.171,-121.257,577.385,-148.670
denied,59.033,96.5784,485.459,-119.902,578.058,-147.339
denied,59.132,96.9895,485.754,-118.430,578.757,-145.952
denied,59.233,97.3597,486.045,-117.077,579.427,-144.620
denied,59.332,97.7611,486.347,-115.609,580.124,-143.232
denied,59.438,98.1827,486.617,-114.251,580.876,-141.731
denied,59.537,98.5630,486.905,-112.899,581.571,-140.341
denied,59.637,98.9672,487.200,-111.430,582.264,-138.949
denied,59.746,99.3409,487.469,-110.076,582.901,-137.668
denied,59.851,99.7689,487.808,-108.441,583.648,-136.163
denied,59.951,100.1465,488.081,-107.086,584.310,-134.824
denied,60.057,100.5393,488.370,-105.618,584.970,-133.484
denied,60.179,100.9377,488.653,-104.265,585.712,-131.976
denied,60.279,101.3305,488.949,-102.798,586.397,-130.579
denied,60.380,101.7176,489.217,-101.444,587.080,-129.181
denied,60.480,102.0898,489.518,-99.981,587.733,-127.838
denied,60.579,102.4719,489.786,-98.629,588.412,-126.438
denied,60.680,102.8474,490.079,-97.166,589.062,-125.094
denied,60.779,103.2497,490.355,-95.818,589.817,-123.525
denied,60.880,103.5928,490.622,-94.469,590.409,-122.291
denied,60.979,103.9953,490.892,-93.123,591.159,-120.720
denied,61.080,104.3691,491.186,-91.666,591.825,-119.316
denied,61.179,104.7292,491.449,-90.320,592.463,-117.968
denied,61.279,105.0890,491.740,-88.865,593.098,-116.618
denied,61.379,105.4526,492.034,-87.413,593.757,-115.211
denied,61.487,105.8065,492.295,-86.071,594.387,-113.859
denied,61.588,106.1565,492.566,-84.732,595.040,-112.450
denied,61.687,106.5303,492.861,-83.281,595.742,-110.926
denied,61.788,106.8822,493.123,-81.940,596.388,-109.513
denied,61.888,107.2144,493.421,-80.492,597.005,-108.156
denied,61.989,107.5632,493.688,-79.158,597.669,-106.684
denied,62.088,107.8971,493.946,-77.822,598.279,-105.324
denied,62.187,108.2194,494.221,-76.491,598.910,-103.906
denied,62.287,108.5479,494.486,-75.159,599.538,-102.487
denied,62.387,108.8838,494.767,-73.717,600.160,-101.066
denied,62.508,109.2390,495.072,-72.164,600.828,-99.529
denied,62.608,109.5412,495.344,-70.854,601.442,-98.104
denied,62.708,109.8619,495.620,-69.436,602.051,-96.676
denied,62.808,110.1628,495.884,-68.123,602.655,-95.247
denied,62.909,110.4736,496.161,-66.697,603.255,-93.815
denied,63.008,110.7762,496.414,-65.380,603.850,-92.381
denied,63.115,111.0465,496.677,-64.064,604.392,-91.060
denied,63.215,111.3435,496.945,-62.632,604.953,-89.679
denied,63.315,111.6377,497.218,-61.202,605.532,-88.238
denied,63.415,111.8969,497.509,-59.786,606.083,-86.853
denied,63.515,112.2033,497.762,-58.472,606.741,-85.176
denied,63.616,112.4660,498.031,-57.048,607.258,-83.844
denied,63.716,112.7179,498.285,-55.734,607.791,-82.451
denied,63.815,112.9865,498.551,-54.311,608.340,-80.998
denied,63.915,113.2360,498.795,-52.998,608.862,-79.601
denied,64.016,113.4952,499.063,-51.578,609.419,-78.085
denied,64.115,113.7433,499.302,-50.267,609.949,-76.625
denied,64.215,113.9917,499.559,-48.846,610.471,-75.163
denied,64.315,114.2146,499.801,-47.539,610.966,-73.757
denied,64.415,114.4809,500.051,-46.121,611.555,-72.055
denied,64.517,114.6992,500.283,-44.814,612.035,-70.645
denied,64.615,114.9170,500.533,-43.399,612.508,-69.232
denied,64.715,115.1359,500.750,-42.090,612.975,-67.817
denied,64.816,115.3510,500.993,-40.677,613.453,-66.341
denied,64.915,115.5742,501.211,-39.370,613.979,-64.685
denied,65.016,115.7897,501.437,-37.955,614.440,-63.205
denied,65.116,115.9831,501.648,-36.649,614.875,-61.781
denied,65.216,116.1775,501.870,-35.234,615.285,-60.416
denied,65.315,116.3789,502.061,-33.927,615.723,-58.929
denied,65.415,116.5744,502.275,-32.512,616.152,-57.441
denied,65.516,116.7665,502.466,-31.207,616.607,-55.831
denied,65.650,116.9632,502.657,-29.791,617.002,-54.399
denied,65.747,117.1319,502.843,-28.490,617.390,-52.964
denied,65.846,117.2975,503.002,-27.296,617.769,-51.528
denied,65.955,117.4901,503.183,-25.885,618.203,-49.850
denied,66.051,117.6424,503.356,-24.585,618.536,-48.530
denied,66.151,117.8354,503.520,-23.170,618.964,-46.787
denied,66.251,118.0041,503.667,-21.867,619.324,-45.282
denied,66.358,118.1763,503.824,-20.454,619.676,-43.774
denied,66.468,118.3368,503.959,-19.150,619.992,-42.385
denied,66.569,118.4988,504.086,-17.845,620.314,-40.934
denied,66.670,118.6715,504.221,-16.430,620.692,-39.177
denied,66.769,118.8302,504.334,-15.124,620.984,-37.781
denied,66.868,119.0055,504.445,-13.704,621.281,-36.323
denied,66.968,119.1632,504.545,-12.392,621.582,-34.802
denied,67.069,119.3439,504.634,-10.967,621.862,-33.339
denied,67.177,119.5077,504.711,-9.650,622.180,-31.631
denied,67.276,119.7230,504.780,-8.051,622.443,-30.165
denied,67.376,119.8803,504.847,-6.737,622.710,-28.637
denied,67.477,120.0356,504.928,-5.320,622.947,-27.230
denied,67.575,120.2014,504.968,-3.996,623.228,-25.514
denied,67.675,120.3908,504.999,-2.561,623.469,-23.982
denied,67.782,120.5658,505.019,-1.235,623.693,-22.509
denied,67.886,120.7416,505.034,0.093,623.902,-21.096
denied,67.986,120.9398,505.032,1.533,624.129,-19.498
denied,68.087,121.1192,505.024,2.866,624.340,-17.960
denied,68.188,121.3233,505.007,4.310,624.535,-16.483
denied,68.292,121.5171,504.974,5.645,624.723,-15.005
denied,68.402,121.7118,504.937,7.091,624.942,-13.218
denied,68.508,121.9118,504.887,8.430,625.109,-11.800
denied,68.608,122.1226,504.822,9.771,625.270,-10.381
denied,68.715,122.3387,504.749,11.226,625.452,-8.714
denied,68.826,122.5436,504.667,12.572,625.620,-7.109
denied,68.926,122.7869,504.562,14.030,625.775,-5.565
denied,69.027,123.0062,504.461,15.380,625.918,-4.082
denied,69.126,123.2812,504.327,16.903,626.056,-2.598
denied,69.233,123.5167,504.191,18.311,626.210,-0.868
denied,69.333,123.7829,504.050,19.776,626.331,0.555
denied,69.433,124.0284,503.904,21.132,626.454,2.039
denied,69.558,124.2693,503.739,22.491,626.590,3.771
denied,69.654,124.5625,503.554,23.967,626.703,5.256
denied,69.755,124.8257,503.373,25.330,626.816,6.804
denied,69.854,125.1105,503.176,26.695,626.916,8.227
denied,69.954,125.4176,502.961,28.175,627.021,9.775
denied,70.055,125.6953,502.740,29.545,627.135,11.509
denied,70.166,126.0053,502.514,30.917,627.221,12.871
denied,70.266,126.3468,502.261,32.404,627.312,14.357
denied,70.366,126.6595,502.012,33.778,627.404,15.905
denied,70.466,126.9521,501.761,35.153,627.508,17.701
denied,70.566,127.3207,501.474,36.646,627.592,19.188
denied,70.666,127.6631,501.196,38.027,627.674,20.675
denied,70.766,128.0423,500.890,39.525,627.758,22.224
denied,70.866,128.3988,500.595,40.909,627.837,23.711
denied,70.966,128.7957,500.265,42.409,627.922,25.321
denied,71.066,129.1617,499.955,43.796,628.002,26.870
denied,71.166,129.5954,499.599,45.358,628.082,28.419
denied,71.266,130.0296,499.235,46.863,628.162,29.967
denied,71.366,130.4084,498.898,48.253,628.252,31.702
denied,71.466,130.8799,498.522,49.762,628.316,32.941
denied,71.566,131.2786,498.162,51.155,628.410,34.737
denied,71.666,131.7033,497.805,52.549,628.485,36.162
denied,71.766,132.1835,497.404,54.060,628.565,37.649
denied,71.866,132.6229,497.026,55.455,628.649,39.198
denied,71.966,133.1178,496.609,56.970,628.734,40.748
denied,72.066,133.5711,496.221,58.366,628.822,42.297
denied,72.166,134.0452,495.819,59.766,628.908,43.785
denied,72.266,134.5026,495.419,61.167,629.015,45.582
denied,72.366,135.0669,494.959,62.801,629.107,47.070
denied,72.472,135.5732,494.540,64.206,629.193,48.434
denied,72.572,136.1197,494.075,65.727,629.310,50.232
denied,72.672,136.6451,493.640,67.132,629.406,51.658
denied,72.772,137.1598,493.214,68.538,629.514,53.208
denied,72.872,137.7636,492.731,70.178,629.622,54.696
denied,72.972,138.2949,492.289,71.588,629.751,56.431
denied,73.072,138.9091,491.789,73.118,629.871,57.980
denied,73.171,139.4570,491.351,74.530,629.985,59.405
denied,73.272,140.0628,490.869,76.060,630.108,60.892
denied,73.373,140.6233,490.420,77.474,630.257,62.626
denied,73.477,141.2339,489.943,79.004,630.390,64.111
denied,73.578,141.8211,489.481,80.419,630.532,65.658
denied,73.678,142.4501,488.995,81.951,630.673,67.143
denied,73.777,143.0388,488.542,83.365,630.819,68.627
denied,73.877,143.6885,488.044,84.897,630.995,70.357
denied,73.979,144.2788,487.600,86.311,631.151,71.840
denied,74.078,144.9421,487.100,87.844,631.318,73.383
denied,74.177,145.5518,486.645,89.256,631.484,74.865
denied,74.277,146.1621,486.195,90.669,631.647,76.284
denied,74.377,146.8308,485.704,92.201,631.829,77.826
denied,74.477,147.4546,485.252,93.612,632.017,79.367
denied,74.579,148.1313,484.769,95.142,632.232,81.093
denied,74.677,148.7549,484.328,96.553,632.430,82.633
denied,74.776,149.4403,483.840,98.083,632.625,84.111
denied,74.880,150.0718,483.409,99.491,632.858,85.835
denied,74.977,150.7558,482.928,101.014,633.054,87.250
denied,75.077,151.3901,482.494,102.420,633.263,88.727
denied,75.177,152.0667,482.035,103.943,633.485,90.264
denied,75.277,152.7085,481.609,105.348,633.721,91.863
denied,75.377,153.3809,481.164,106.869,633.952,93.400
denied,75.481,154.0126,480.749,108.275,634.178,94.876
denied,75.583,154.6494,480.347,109.680,634.437,96.535
denied,75.681,155.3164,479.915,111.199,634.670,98.009
denied,75.812,155.9501,479.510,112.602,634.907,99.483
denied,75.910,156.6138,479.092,114.123,635.157,101.018
denied,76.011,157.2256,478.715,115.527,635.400,102.492
denied,76.110,157.8625,478.325,117.042,635.645,103.965
denied,76.211,158.4964,477.953,118.439,635.935,105.683
denied,76.310,159.0878,477.598,119.835,636.175,107.093
denied,76.417,159.6642,477.254,121.231,636.406,108.443
denied,76.517,160.3285,476.879,122.742,636.723,110.282
denied,76.630,160.8883,476.555,124.136,636.956,111.631
denied,76.730,161.4845,476.230,125.529,637.255,113.348
denied,76.830,162.1293,475.860,127.264,637.511,114.819
denied,76.933,162.6823,475.556,128.652,637.768,116.290
denied,77.030,163.3045,475.189,130.140,638.024,117.761
denied,77.130,163.8717,474.898,131.507,638.332,119.539
denied,77.231,164.4084,474.609,132.994,638.576,120.949
denied,77.330,164.9127,474.350,134.368,638.829,122.421
denied,77.430,165.4411,474.073,135.857,639.081,123.894
denied,77.530,165.9450,473.834,137.232,639.371,125.612
denied,77.633,166.4539,473.577,138.720,639.628,127.146
denied,77.732,166.9242,473.348,140.091,639.881,128.681
denied,77.830,167.4027,473.114,141.576,640.131,130.217
denied,77.930,167.8376,472.907,142.946,640.367,131.692
denied,78.030,168.2870,472.688,144.425,640.598,133.168
denied,78.130,168.6977,472.500,145.789,640.833,134.706
denied,78.231,169.1129,472.304,147.265,641.054,136.184
denied,78.330,169.5191,472.128,148.623,641.312,137.971
denied,78.430,169.9023,471.956,150.096,641.528,139.512
denied,78.532,170.2603,471.792,151.565,641.720,140.931
denied,78.630,170.5930,471.643,152.921,641.912,142.413
denied,78.738,170.9122,471.512,154.276,642.120,144.081
denied,78.837,171.2103,471.384,155.628,642.302,145.627
denied,78.939,171.5080,471.247,157.089,642.461,147.050
denied,79.038,171.7880,471.130,158.545,642.637,148.721
denied,79.138,172.0393,471.021,159.890,642.794,150.332
denied,79.238,172.2818,470.910,161.344,642.929,151.819
denied,79.346,172.4867,470.819,162.687,643.047,153.246
denied,79.452,172.6973,470.721,164.139,643.172,154.921
denied,79.562,172.8748,470.634,165.475,643.274,156.473
denied,79.658,173.0435,470.547,166.917,643.356,157.901
denied,79.770,173.1812,470.472,168.243,643.439,159.641
denied,79.870,173.3230,470.384,169.678,643.496,161.132
denied,79.970,173.4220,470.319,171.001,643.539,162.624
denied,80.074,173.5290,470.237,172.434,643.567,164.116
denied,80.171,173.5915,470.166,173.754,643.581,165.919
denied,80.270,173.6583,470.091,175.182,643.575,167.412
denied,80.372,173.7124,470.008,176.498,643.554,168.904
denied,80.476,173.7430,469.936,177.919,643.516,170.395
denied,80.576,173.7521,469.854,179.229,643.456,172.010
denied,80.693,173.7590,469.765,180.645,643.380,173.562
denied,80.797,173.7413,469.678,181.951,643.284,175.113
denied,80.896,173.7314,469.575,183.362,643.175,176.600
denied,80.997,173.6936,469.471,184.662,643.042,178.147
denied,81.096,173.6321,469.348,186.069,642.870,179.878
denied,81.197,173.5756,469.230,187.364,642.702,181.359
denied,81.296,173.5289,469.078,188.763,642.508,182.899
denied,81.400,173.4510,468.945,190.052,642.303,184.374
denied,81.500,173.3889,468.768,191.445,642.069,185.908
denied,81.600,173.3127,468.595,192.729,641.826,187.378
denied,81.702,173.2510,468.393,194.115,641.563,188.844
denied,81.800,173.1684,468.175,195.392,641.270,190.367
denied,81.900,173.0989,467.942,196.772,640.970,191.826
denied,82.001,173.0130,467.688,198.043,640.637,193.341
denied,82.101,172.9457,467.399,199.416,640.284,194.851
denied,82.202,172.8017,467.114,200.680,639.866,196.536
denied,82.301,172.7418,466.776,202.044,639.471,198.036
denied,82.409,172.6937,466.441,203.299,639.091,199.410
denied,82.511,172.6481,466.052,204.655,638.660,200.900
denied,82.610,172.5770,465.668,205.903,638.210,202.383
denied,82.710,172.4960,465.218,207.248,637.684,204.038
denied,82.810,172.4662,464.757,208.591,637.195,205.509
denied,82.923,172.4678,464.288,209.823,636.731,206.858
denied,83.021,172.4560,463.797,211.051,636.230,208.260
denied,83.122,172.5237,463.235,212.378,635.737,209.598
denied,83.221,172.5037,462.676,213.595,635.162,211.105
denied,83.321,172.4008,462.113,214.810,634.502,212.779
denied,83.431,172.4566,461.518,216.019,633.964,214.101
denied,83.529,172.4827,460.891,217.220,633.366,215.533
denied,83.631,172.6247,460.187,218.519,632.803,216.846
denied,83.729,172.5556,459.501,219.710,632.053,218.551
denied,83.829,172.6822,458.736,220.995,631.415,219.967
denied,83.929,172.8148,458.005,222.175,630.817,221.266
denied,84.031,173.0080,457.178,223.448,630.184,222.617
denied,84.128,173.1545,456.388,224.615,629.541,223.964
denied,84.245,173.2996,455.509,225.875,628.808,225.474
denied,84.343,173.4477,454.673,227.032,628.121,226.868
denied,84.445,173.7158,453.737,228.276,627.453,228.203
denied,84.543,173.9251,452.854,229.422,626.780,229.534
denied,84.643,174.1841,451.945,230.559,626.129,230.807
denied,84.743,174.3627,450.940,231.786,625.302,232.409
denied,84.842,174.6446,449.998,232.913,624.641,233.676
denied,84.943,174.9959,448.955,234.126,623.949,234.996
denied,85.043,175.1426,447.972,235.241,623.109,236.589
denied,85.143,175.4975,446.892,236.443,622.383,237.960
denied,85.243,175.8149,445.878,237.547,621.684,239.275
denied,85.343,176.2304,444.764,238.737,620.985,240.589
denied,85.443,176.5413,443.728,239.831,620.256,241.957
denied,85.543,176.9805,442.592,241.010,619.558,243.271
denied,85.643,177.3465,441.531,242.094,618.860,244.584
denied,85.744,177.7852,440.371,243.265,618.136,245.954
denied,85.843,178.0297,439.297,244.340,617.298,247.544
denied,85.943,178.6413,437.967,245.688,616.579,248.917
denied,86.043,179.0253,436.873,246.758,615.863,250.292
denied,86.150,179.6302,435.644,247.880,615.237,251.505
denied,86.248,179.9469,434.546,248.933,614.446,253.051
denied,86.348,180.4538,433.343,250.076,613.744,254.434
denied,86.448,180.8872,432.223,251.130,613.049,255.822
denied,86.548,181.4263,431.001,252.275,612.360,257.213
denied,86.648,181.9381,429.868,253.332,611.733,258.496
denied,86.749,182.5294,428.634,254.477,611.085,259.838
denied,86.848,182.9435,427.490,255.532,610.339,261.409
denied,86.954,183.4833,426.353,256.587,609.734,262.703
denied,87.053,184.1386,425.105,257.727,609.137,264.001
denied,87.153,184.5825,423.940,258.775,608.395,265.643
denied,87.253,185.2098,422.695,259.917,607.766,267.063
denied,87.359,185.8238,421.543,260.975,607.222,268.317
denied,87.466,186.3568,420.394,262.033,606.589,269.803
denied,87.566,187.0176,419.126,263.170,605.967,271.294
denied,87.666,187.6269,417.969,264.220,605.405,272.675
denied,87.768,188.3366,416.717,265.358,604.853,274.061
denied,87.867,188.8678,415.563,266.412,604.200,275.741
denied,87.966,189.6757,414.314,267.559,603.759,276.903
denied,88.066,190.3066,413.162,268.621,603.219,278.361
denied,88.167,191.0218,411.917,269.774,602.671,279.882
denied,88.267,191.6309,410.763,270.836,602.096,281.525
denied,88.366,192.3960,409.531,271.993,601.615,282.938
denied,88.466,193.0869,408.375,273.055,601.128,284.414
denied,88.566,193.8770,407.143,274.213,600.672,285.835
denied,88.666,194.6086,406.002,275.283,600.246,287.200
denied,88.766,195.4074,404.772,276.447,599.796,288.688
denied,88.866,196.0731,403.654,277.524,599.307,290.359
denied,88.966,196.9062,402.419,278.683,598.884,291.855
denied,89.066,197.6600,401.307,279.764,598.507,293.235
denied,89.166,198.4582,400.098,280.938,598.063,294.918
denied,89.266,199.2178,398.984,282.019,597.680,296.425
denied,89.366,200.0830,397.792,283.195,597.340,297.814
denied,89.467,200.8587,396.697,284.285,596.996,299.266
denied,89.570,201.6016,395.611,285.378,596.609,300.963
denied,89.670,202.4709,394.433,286.565,596.277,302.482
denied,89.770,203.2543,393.368,287.670,595.970,303.943
denied,89.871,204.1416,392.204,288.862,595.674,305.406
denied,89.970,204.9152,391.153,289.968,595.355,307.054
denied,90.070,205.8009,390.015,291.158,595.082,308.522
denied,90.170,206.6173,388.965,292.254,594.819,309.991
denied,90.270,207.4833,387.862,293.453,594.557,311.524
denied,90.380,208.2926,386.827,294.557,594.285,313.183
denied,90.480,209.1703,385.736,295.759,594.045,314.720
denied,90.580,210.0448,384.657,296.971,593.814,316.260
denied,90.680,210.8461,383.671,298.094,593.594,317.802
denied,90.780,211.6408,382.703,299.228,593.391,319.284
denied,90.881,212.4294,381.747,300.370,593.189,320.829
denied,90.981,213.2849,380.726,301.610,593.010,322.252
denied,91.084,214.0689,379.787,302.756,592.795,324.048
denied,91.180,214.9054,378.800,304.009,592.625,325.535
denied,91.280,215.6848,377.887,305.165,592.461,327.023
denied,91.380,216.5111,376.922,306.425,592.303,328.512
denied,91.480,217.2598,376.050,307.595,592.145,330.064
denied,91.581,218.0745,375.107,308.867,591.998,331.555
denied,91.689,218.8013,374.268,310.055,591.832,333.294
denied,91.789,219.5862,373.363,311.343,591.694,334.786
denied,91.892,220.3550,372.478,312.635,591.554,336.340
denied,91.989,221.0510,371.678,313.834,591.422,337.831
denied,92.089,221.7447,370.888,315.035,591.271,339.572
denied,92.196,222.4695,370.048,316.340,591.153,340.940
denied,92.299,223.1227,369.294,317.554,591.025,342.433
denied,92.399,223.7614,368.555,318.778,590.892,343.988
denied,92.498,224.4419,367.761,320.100,590.763,345.480
denied,92.598,225.0422,367.058,321.332,590.628,347.035
denied,92.705,225.6847,366.304,322.666,590.473,348.777
denied,92.804,226.2595,365.620,323.900,590.338,350.270
denied,92.905,226.8426,364.910,325.253,590.198,351.762
denied,93.004,227.3696,364.265,326.509,590.049,353.318
denied,93.104,227.9145,363.584,327.877,589.894,354.873
denied,93.204,228.3863,362.979,329.153,589.739,356.365
denied,93.304,228.8793,362.335,330.536,589.570,357.920
denied,93.410,229.3761,361.671,331.978,589.371,359.660
denied,93.509,229.8114,361.064,333.380,589.199,361.088
denied,93.609,230.2002,360.508,334.670,589.010,362.578
denied,93.709,230.5844,359.930,336.081,588.802,364.129
denied,93.819,230.9035,359.414,337.392,588.555,365.864
denied,93.916,231.2280,358.869,338.818,588.331,367.349
denied,94.016,231.5048,358.371,340.137,588.082,368.894
denied,94.116,231.7722,357.851,341.575,587.819,370.436
denied,94.216,231.9921,357.377,342.902,587.540,371.976
denied,94.316,232.1925,356.909,344.230,587.256,373.451
denied,94.416,232.3793,356.419,345.678,586.943,374.984
denied,94.516,232.4997,355.972,347.015,586.569,376.696
denied,94.616,232.6214,355.503,348.473,586.215,378.220
denied,94.718,232.7401,355.025,349.926,585.856,379.679
denied,94.816,232.7954,354.595,351.272,585.460,381.193
denied,94.916,232.8269,354.167,352.618,585.042,382.701
denied,95.016,232.8751,353.703,354.077,584.637,384.082
denied,95.117,232.8646,353.271,355.422,584.174,385.577
denied,95.216,232.8140,352.801,356.880,583.627,387.241
denied,95.318,232.7611,352.370,358.227,583.133,388.659
denied,95.415,232.7127,351.880,359.669,582.592,390.122
denied,95.516,232.6236,351.448,361.012,582.071,391.458
denied,95.616,232.5388,350.973,362.462,581.519,392.844
denied,95.726,232.3731,350.536,363.794,580.878,394.449
denied,95.823,232.3160,350.046,365.225,580.340,395.810
denied,95.924,232.3456,349.486,366.617,579.807,397.222
denied,96.024,232.5047,348.860,367.853,579.325,398.580
denied,96.123,232.7944,348.140,369.053,578.875,399.949
denied,96.223,233.2703,347.210,370.293,578.367,401.621
denied,96.324,233.8908,346.229,371.386,577.971,403.017
denied,96.423,234.7039,345.065,372.528,577.592,404.421
denied,96.525,235.5408,343.906,373.546,577.224,405.833
denied,96.623,236.5107,342.585,374.623,576.802,407.486
denied,96.723,237.4773,341.319,375.598,576.457,408.849
denied,96.824,238.5275,339.948,376.654,576.094,410.273
denied,96.923,239.5041,338.659,377.622,575.727,411.700
denied,97.023,240.4980,337.297,378.687,575.273,413.426
denied,97.124,241.3982,336.065,379.686,574.887,414.856
denied,97.223,242.3468,334.767,380.788,574.508,416.228
denied,97.324,243.1409,333.616,381.832,574.103,417.660
denied,97.423,243.9411,332.396,382.994,573.615,419.331
denied,97.524,244.6288,331.313,384.092,573.168,420.824
denied,97.628,245.3563,330.171,385.305,572.728,422.258
denied,97.723,245.9451,329.141,386.443,572.221,423.871
denied,97.824,246.6007,328.046,387.692,571.761,425.306
denied,97.924,247.1641,327.048,388.860,571.292,426.740
denied,98.026,247.7810,325.970,390.136,570.814,428.174
denied,98.123,248.3248,324.974,391.321,570.329,429.609
denied,98.227,248.8802,323.897,392.609,569.754,431.282
denied,98.370,249.4367,322.884,393.799,569.275,432.655
denied,98.472,250.0360,321.782,395.088,568.748,434.147
denied,98.570,250.5772,320.749,396.275,568.215,435.639
denied,98.669,251.1409,319.701,397.456,567.698,437.070
denied,98.769,251.7151,318.560,398.728,567.065,438.797
denied,98.870,252.3029,317.465,399.895,566.514,440.285
denied,98.970,252.9537,316.287,401.152,565.958,441.771
denied,99.070,253.5810,315.170,402.303,565.442,443.138
denied,99.169,254.2618,313.954,403.543,564.876,444.622
denied,99.269,254.8800,312.813,404.680,564.304,446.104
denied,99.370,255.6049,311.557,405.904,563.750,447.527
denied,99.469,256.2368,310.394,407.030,563.169,449.007
denied,99.575,257.0059,309.001,408.337,562.487,450.723
denied,99.695,257.6320,307.905,409.357,561.990,451.964
denied,99.790,258.3963,306.594,410.556,561.416,453.380
denied,99.892,259.1069,305.275,411.748,560.742,455.032
denied,99.991,259.7863,304.043,412.840,560.133,456.505
denied,100.090,260.4811,302.805,413.928,559.545,457.917
denied,100.190,261.2650,301.456,415.102,558.951,459.329
denied,100.290,261.9761,300.194,416.177,558.352,460.739
denied,100.390,262.6909,298.833,417.339,557.623,462.441
denied,100.490,263.4114,297.551,418.408,557.013,463.848
denied,100.591,264.2160,296.165,419.557,556.399,465.255
denied,100.690,264.9226,294.874,420.615,555.755,466.718
denied,100.790,265.7391,293.467,421.758,555.131,468.121
denied,100.890,266.4594,292.170,422.805,554.502,469.524
denied,100.990,267.1829,290.850,423.848,553.842,470.983
denied,101.090,267.9220,289.429,424.973,553.071,472.674
denied,101.191,268.6601,288.102,426.004,552.427,474.072
denied,101.291,269.4784,286.657,427.119,551.752,475.526
denied,101.390,270.2178,285.320,428.143,551.099,476.922
denied,101.491,271.0622,283.858,429.244,550.441,478.315
denied,101.592,271.7879,282.510,430.259,549.751,479.766
denied,101.690,272.6451,281.028,431.351,549.085,481.157
denied,101.791,273.3118,279.665,432.353,548.274,482.836
denied,101.890,274.0744,278.286,433.349,547.598,484.223
denied,101.990,274.9479,276.777,434.417,546.917,485.610
denied,102.090,275.6855,275.402,435.401,546.205,487.053
denied,102.190,276.5470,273.900,436.461,545.518,488.438
denied,102.291,277.2969,272.498,437.417,544.788,489.871
denied,102.392,278.0992,270.950,438.420,543.947,491.446
denied,102.491,278.8030,269.545,439.325,543.169,492.812
denied,102.593,279.5948,268.023,440.284,542.393,494.082
denied,102.690,280.2202,266.650,441.134,541.583,495.310
denied,102.790,280.8716,265.178,441.977,540.698,496.541
denied,102.891,281.4347,263.794,442.674,539.801,497.678
denied,102.990,281.9662,262.394,443.310,538.851,498.775
denied,103.090,282.4552,260.802,443.914,537.625,500.042
denied,103.190,282.9013,259.418,444.349,536.591,500.992
denied,103.291,283.5382,257.736,444.779,535.456,501.924
denied,103.392,283.8374,256.137,445.085,534.011,502.961
denied,103.490,284.5079,254.319,445.288,532.757,503.740
denied,103.592,285.1852,252.454,445.380,531.457,504.442
denied,103.690,285.7244,250.696,445.359,530.113,505.064
denied,103.790,286.1411,248.921,445.243,528.614,505.644
denied,103.891,286.7873,246.989,445.012,527.197,506.090
denied,103.993,287.2469,245.220,444.714,525.754,506.451
denied,104.090,287.8361,243.308,444.288,524.290,506.727
denied,104.190,288.1670,241.576,443.820,522.748,506.925
denied,104.291,288.2675,239.880,443.285,521.009,507.041
denied,104.390,288.5578,238.225,442.687,519.512,507.054
denied,104.490,288.9273,236.497,441.981,518.016,506.989
denied,104.590,289.2471,234.824,441.207,516.524,506.850
denied,104.692,289.0519,233.348,440.452,514.732,506.587
denied,104.791,289.1861,231.810,439.591,513.201,506.283
denied,104.891,289.2242,230.432,438.742,511.745,505.928
denied,104.991,289.2737,229.006,437.792,510.245,505.498
denied,105.090,289.2313,227.736,436.875,508.822,505.032
denied,105.191,289.1647,226.506,435.927,507.418,504.517
denied,105.291,288.7741,225.309,434.944,505.745,503.837
denied,105.390,288.7381,224.148,433.924,504.438,503.256
denied,105.492,288.7296,222.930,432.800,503.092,502.614
denied,105.591,288.6307,221.759,431.656,501.709,501.911
