scene,mode,method,sample_id,frame_index,altitude_m,view_angle_deg,yaw_deg,keypoints,matches,inliers,inlier_ratio,reproj_err_px,scale,tiles_searched,plausible,reject_code,error_m,sigma_m,latency_ms,detect_ms,match_ms,ransac_ms
Scene_09,satellite,xfeat_lg,L09_0001,0,63.88,89.44,81.62,1024,3,0,0.0,,,9,False,PLE-05,,,3250.5,234.6,2947.7,0
Scene_09,satellite,xfeat_lg,L09_0002,1,70.66,89.41,82.04,1024,76,18,0.2368,1.695,1.612,9,False,PLE-08,,,2821.8,285.4,2511.0,8.8
Scene_09,satellite,xfeat_lg,L09_0003,2,78.25,89.4,82.44,1024,23,11,0.4783,1.593,1.8424,9,False,PLE-08,,,3033.6,337.1,2682.8,2.4
Scene_09,satellite,xfeat_lg,L09_0004,3,85.34,89.4,82.7,1024,17,8,0.4706,0.625,0.9771,9,True,,4.0951,8.0,3095.2,387.2,2692.7,1.4
Scene_09,satellite,xfeat_lg,L09_0005,4,91.23,89.42,83.0,1024,5,0,0.0,,,9,False,PLE-05,,,3392.5,457.1,2923.0,0
Scene_09,satellite,xfeat_lg,L09_0006,5,93.91,89.43,83.24,1024,34,7,0.2059,0.569,0.4768,9,False,PLE-08,,,3422.5,506.8,2894.1,8.5
Scene_09,satellite,xfeat_lg,L09_0007,6,93.52,87.17,143.04,1024,60,14,0.2333,1.515,1.9431,9,False,PLE-08,,,3664.5,785.7,2855.1,9.0
Scene_09,satellite,xfeat_lg,L09_0008,7,92.33,86.78,144.67,1024,74,8,0.1081,1.157,1.1746,9,True,,4.8085,8.0,3152.4,737.0,2393.1,5.2
Scene_09,satellite,xfeat_lg,L09_0009,8,92.58,86.7,146.03,1024,9,0,0.0,,,9,False,PLE-05,,,3653.1,701.1,2929.3,0
Scene_09,satellite,xfeat_lg,L09_0010,9,92.94,86.86,147.48,1024,51,12,0.2353,0.872,4.0521,9,False,PLE-08,,,3559.9,797.8,2740.3,6.5
Scene_09,satellite,xfeat_lg,L09_0011,10,92.89,87.26,148.38,1024,5,0,0.0,,,9,False,PLE-05,,,3651.2,683.1,2947.7,0
Scene_09,satellite,xfeat_lg,L09_0012,11,93.11,87.99,148.84,1024,6,0,0.0,,,9,False,PLE-05,,,3653.3,685.6,2947.2,0
Scene_09,satellite,xfeat_lg,L09_0013,12,93.37,89.37,105.79,1024,16,6,0.375,0.501,0.4435,9,False,PLE-08,,,3393.6,597.7,2779.3,1.3
Scene_09,satellite,xfeat_lg,L09_0014,13,92.56,89.78,93.72,1024,9,0,0.0,,,9,False,PLE-05,,,3240.6,483.9,2743.1,0
Scene_09,satellite,xfeat_lg,L09_0015,14,93.57,89.73,93.19,1024,12,6,0.5,0.475,0.8668,9,False,PLE-08,,,3232.4,494.4,2723.0,1.3
Scene_09,satellite,xfeat_lg,L09_0016,15,93.74,89.85,93.35,1024,8,0,0.0,,,9,False,PLE-05,,,3087.5,450.1,2623.8,0
Scene_09,satellite,xfeat_lg,L09_0017,16,93.66,89.88,93.38,1024,2,0,0.0,,,9,False,PLE-05,,,3282.2,457.5,2811.9,0
Scene_09,satellite,xfeat_lg,L09_0018,17,93.23,89.83,93.36,1024,0,0,0.0,,,9,False,PLE-05,,,3541.3,556.0,2970.6,0
Scene_09,satellite,xfeat_lg,L09_0019,18,93.27,89.78,93.29,1024,0,0,0.0,,,9,False,PLE-05,,,3174.9,467.5,2693.8,0
Scene_09,satellite,xfeat_lg,L09_0020,19,93.36,89.93,93.43,1024,6,0,0.0,,,9,False,PLE-05,,,3156.0,441.2,2693.2,0
Scene_09,satellite,xfeat_lg,L09_0021,20,93.06,89.94,93.38,1024,0,0,0.0,,,9,False,PLE-05,,,3106.4,437.1,2656.1,0
Scene_09,satellite,xfeat_lg,L09_0022,21,93.23,89.81,93.04,1024,1,0,0.0,,,9,False,PLE-05,,,3170.4,445.3,2710.8,0
Scene_09,satellite,xfeat_lg,L09_0023,22,93.7,89.91,92.25,1024,7,0,0.0,,,9,False,PLE-05,,,2940.2,440.4,2487.2,0
Scene_09,satellite,xfeat_lg,L09_0024,23,93.92,89.94,91.82,1024,9,0,0.0,,,9,False,PLE-05,,,3238.5,428.5,2796.2,0
Scene_09,satellite,xfeat_lg,L09_0025,24,93.97,89.92,91.51,1024,1,0,0.0,,,9,False,PLE-05,,,3375.3,484.0,2877.8,0
