scene,mode,method,sample_id,frame_index,altitude_m,view_angle_deg,yaw_deg,keypoints,matches,inliers,inlier_ratio,reproj_err_px,scale,tiles_searched,plausible,reject_code,error_m,sigma_m,latency_ms,detect_ms,match_ms,ransac_ms
Scene_09,satellite,edgepoint2_s64,L09_0001,0,63.88,89.44,81.62,4096,472,8,0.0169,0.877,0.3658,9,False,PLE-08,,,173.7,51.2,95.7,4.6
Scene_09,satellite,edgepoint2_s64,L09_0002,1,70.66,89.41,82.04,4096,493,10,0.0203,0.852,1.3636,9,False,PLE-08,,,154.8,50.7,96.4,5.0
Scene_09,satellite,edgepoint2_s64,L09_0003,2,78.25,89.4,82.44,4096,482,17,0.0353,1.461,0.3293,9,False,PLE-08,,,177.2,69.6,98.0,6.5
Scene_09,satellite,edgepoint2_s64,L09_0004,3,85.34,89.4,82.7,4096,451,10,0.0222,1.035,0.708,9,True,,1.4044,8.0,183.5,82.2,94.6,3.8
Scene_09,satellite,edgepoint2_s64,L09_0005,4,91.23,89.42,83.0,4096,455,12,0.0264,1.027,1.166,9,True,,2.5082,8.0,201.2,101.3,93.2,3.9
Scene_09,satellite,edgepoint2_s64,L09_0006,5,93.91,89.43,83.24,4096,467,31,0.0664,1.704,0.7796,9,True,,2.1348,8.0,203.1,100.5,95.0,4.3
Scene_09,satellite,edgepoint2_s64,L09_0007,6,93.52,87.17,143.04,4096,479,36,0.0752,1.663,0.7822,9,True,,2.2582,8.0,263.7,165.0,90.7,4.4
Scene_09,satellite,edgepoint2_s64,L09_0008,7,92.33,86.78,144.67,4096,442,22,0.0498,1.757,1.973,9,False,PLE-08,,,238.6,140.9,90.6,4.2
Scene_09,satellite,edgepoint2_s64,L09_0009,8,92.58,86.7,146.03,4096,436,27,0.0619,1.615,0.8101,9,True,,2.473,8.0,236.6,140.9,88.2,4.4
Scene_09,satellite,edgepoint2_s64,L09_0010,9,92.94,86.86,147.48,4096,431,8,0.0186,1.047,0.2354,9,False,PLE-08,,,241.7,131.0,103.3,4.4
Scene_09,satellite,edgepoint2_s64,L09_0011,10,92.89,87.26,148.38,4096,400,13,0.0325,1.589,0.6667,9,True,,2.7056,8.0,250.6,142.1,99.9,4.8
Scene_09,satellite,edgepoint2_s64,L09_0012,11,93.11,87.99,148.84,4096,361,8,0.0222,0.809,2.6407,9,False,PLE-08,,,242.3,142.8,92.3,4.3
Scene_09,satellite,edgepoint2_s64,L09_0013,12,93.37,89.37,105.79,4096,448,5,0.0112,0.303,2.1696,9,False,PLE-08,,,197.3,97.4,92.4,4.5
Scene_09,satellite,edgepoint2_s64,L09_0014,13,92.56,89.78,93.72,4096,411,9,0.0219,1.336,2.055,9,False,PLE-08,,,174.9,71.3,96.5,4.2
Scene_09,satellite,edgepoint2_s64,L09_0015,14,93.57,89.73,93.19,4096,454,7,0.0154,0.751,0.168,9,False,PLE-08,,,178.8,75.9,95.7,4.5
Scene_09,satellite,edgepoint2_s64,L09_0016,15,93.74,89.85,93.35,4096,490,9,0.0184,0.758,0.9983,9,True,,2.6026,8.0,176.8,75.4,94.5,4.0
