scene,mode,method,sample_id,frame_index,altitude_m,view_angle_deg,yaw_deg,keypoints,matches,inliers,inlier_ratio,reproj_err_px,scale,tiles_searched,plausible,reject_code,error_m,sigma_m,latency_ms,detect_ms,match_ms,ransac_ms
Scene_16,satellite,edgepoint2_s64,L16_0001,0,111.47,89.61,274.48,4096,1199,5,0.0042,0.082,0.8961,12,True,,203.3341,8.0,316.6,152.4,124.4,7.5
Scene_16,satellite,edgepoint2_s64,L16_0002,1,108.31,89.15,274.93,4096,1137,13,0.0114,1.84,0.4929,12,False,PLE-08,,,268.6,127.4,128.3,8.8
Scene_16,satellite,edgepoint2_s64,L16_0003,2,106.86,89.11,274.93,4096,1156,22,0.019,1.635,0.8715,12,True,,10.1694,8.0,263.2,125.4,124.4,6.8
Scene_16,satellite,edgepoint2_s64,L16_0004,3,105.35,89.09,274.94,4096,1165,6,0.0052,0.515,0.9995,12,False,PLE-08,,,271.6,133.5,125.9,8.5
Scene_16,satellite,edgepoint2_s64,L16_0005,4,104.01,89.11,274.94,4096,1166,7,0.006,1.015,0.9447,12,True,,63.4948,8.0,251.4,116.4,124.6,6.8
Scene_16,satellite,edgepoint2_s64,L16_0006,5,102.45,89.19,274.79,4096,1178,10,0.0085,1.283,0.2012,12,False,PLE-08,,,252.3,115.0,125.7,8.1
Scene_16,satellite,edgepoint2_s64,L16_0007,6,100.67,89.38,274.62,4096,1157,13,0.0112,0.768,5.0358,12,False,PLE-08,,,242.7,107.6,123.2,8.4
Scene_16,satellite,edgepoint2_s64,L16_0008,7,98.78,89.63,274.34,4096,1105,38,0.0344,1.71,0.6119,12,False,PLE-08,,,240.0,105.2,123.4,7.7
Scene_16,satellite,edgepoint2_s64,L16_0009,8,97.42,89.79,274.03,4096,1080,34,0.0315,1.709,0.5106,12,False,PLE-08,,,237.6,102.2,123.1,8.9
Scene_16,satellite,edgepoint2_s64,L16_0010,9,96.04,89.86,273.64,4096,1079,27,0.025,1.726,0.8354,12,True,,9.4626,8.0,236.6,95.4,131.0,6.8
Scene_16,satellite,edgepoint2_s64,L16_0011,10,94.49,89.83,273.22,4096,1041,16,0.0154,1.874,0.9944,12,True,,7.582,8.0,238.1,102.9,125.7,6.4
Scene_16,satellite,edgepoint2_s64,L16_0012,11,93.12,89.79,272.84,4096,1054,6,0.0057,0.609,1.3186,12,True,,203.5011,8.0,233.7,90.0,133.4,7.2
Scene_16,satellite,edgepoint2_s64,L16_0013,12,91.42,89.61,272.56,4096,977,20,0.0205,1.379,1.0598,12,True,,1.8847,8.0,227.2,86.1,131.6,6.4
Scene_16,satellite,edgepoint2_s64,L16_0014,13,90.04,89.53,272.35,4096,1002,24,0.024,1.549,0.9942,12,True,,0.7291,8.0,215.6,79.9,126.3,6.6
Scene_16,satellite,edgepoint2_s64,L16_0125,14,77.3,89.86,207.89,4096,982,5,0.0051,0.186,0.6102,12,False,PLE-08,,,230.6,94.4,125.9,7.9
Scene_16,satellite,edgepoint2_s64,L16_0126,15,72.67,89.12,206.71,4096,935,6,0.0064,0.63,6.2005,12,False,PLE-08,,,218.0,83.5,123.6,8.1
Scene_16,satellite,edgepoint2_s64,L16_0248,16,106.33,69.88,176.48,4096,687,11,0.016,1.88,0.3445,12,False,PLE-08,,,292.0,152.8,127.0,7.5
Scene_16,satellite,edgepoint2_s64,L16_0249,17,106.48,85.09,181.88,4096,631,11,0.0174,1.194,0.1864,12,False,PLE-08,,,256.6,118.4,127.0,7.5
Scene_16,satellite,edgepoint2_s64,L16_0250,18,106.56,85.2,182.14,4096,621,22,0.0354,1.669,0.8522,12,True,,19.9198,8.0,255.8,117.9,127.8,6.3
