scene,mode,method,sample_id,frame_index,altitude_m,view_angle_deg,yaw_deg,keypoints,matches,inliers,inlier_ratio,reproj_err_px,scale,tiles_searched,plausible,reject_code,error_m,sigma_m,latency_ms,detect_ms,match_ms,ransac_ms
Scene_22,satellite,edgepoint2_s64,L22_0030,0,68.39,85.09,337.63,4096,214,6,0.028,0.744,0.7857,4,False,PLE-08,,,127.8,69.9,40.6,4.1
Scene_22,satellite,edgepoint2_s64,L22_0031,1,68.33,85.15,337.17,4096,246,6,0.0244,0.801,0.8371,4,False,PLE-08,,,113.2,66.8,40.9,2.6
Scene_22,satellite,edgepoint2_s64,L22_0032,2,67.38,89.55,336.48,4096,340,8,0.0235,1.082,0.878,4,False,PLE-08,,,114.3,64.9,42.5,3.5
Scene_22,satellite,edgepoint2_s64,L22_0033,3,66.88,82.62,335.78,4096,451,8,0.0177,1.172,4.6011,4,False,PLE-08,,,115.8,64.7,43.1,4.6
Scene_22,satellite,edgepoint2_s64,L22_0034,4,66.44,74.73,334.6,4096,450,7,0.0156,0.679,12.3378,4,False,PLE-08,,,119.4,70.9,41.2,4.2
Scene_22,satellite,edgepoint2_s64,L22_0124,5,62.7,67.66,79.95,4096,197,6,0.0305,0.698,0.5863,4,False,PLE-08,,,105.5,58.1,40.8,3.5
Scene_22,satellite,edgepoint2_s64,L22_0125,6,64.69,67.62,80.37,4096,199,7,0.0352,0.694,0.8458,4,True,,16.1175,8.0,112.4,60.9,44.5,3.5
Scene_22,satellite,edgepoint2_s64,L22_0126,7,67.76,67.53,79.38,4096,210,6,0.0286,0.368,1.1746,4,False,PLE-08,,,117.1,67.3,42.5,3.8
Scene_22,satellite,edgepoint2_s64,L22_0127,8,70.15,78.8,78.09,4096,191,6,0.0314,0.372,1.3285,4,True,,50.9796,8.0,115.3,66.6,43.6,1.9
Scene_22,satellite,edgepoint2_s64,L22_0128,9,70.3,79.23,73.96,4096,189,6,0.0317,0.623,0.3303,4,False,PLE-08,,,118.0,69.8,41.7,3.2
Scene_22,satellite,edgepoint2_s64,L22_0129,10,69.87,79.29,73.79,4096,230,6,0.0261,0.408,0.5676,4,False,PLE-08,,,131.9,81.2,43.0,3.4
Scene_22,satellite,edgepoint2_s64,L22_0130,11,69.13,79.12,74.95,4096,225,6,0.0267,0.542,0.7018,4,True,,51.6696,8.0,105.9,59.2,41.1,2.4
Scene_22,satellite,edgepoint2_s64,L22_0131,12,68.89,78.83,77.1,4096,239,8,0.0335,0.625,0.5371,4,False,PLE-08,,,105.8,58.2,40.3,3.9
Scene_22,satellite,edgepoint2_s64,L22_0132,13,69.71,78.97,77.06,4096,233,6,0.0258,0.399,6.2476,4,False,PLE-08,,,115.9,64.0,42.2,4.8
Scene_22,satellite,edgepoint2_s64,L22_0133,14,69.78,81.71,137.93,4096,179,5,0.0279,0.151,0.2793,4,False,PLE-08,,,134.0,87.2,39.8,2.5
Scene_22,satellite,edgepoint2_s64,L22_0134,15,69.85,89.93,183.77,4096,183,8,0.0437,1.605,0.1774,4,False,PLE-08,,,101.3,52.2,43.0,2.5
Scene_22,satellite,edgepoint2_s64,L22_0135,16,70.0,86.58,170.82,4096,217,9,0.0415,1.517,0.5981,4,False,PLE-08,,,111.5,64.4,40.7,3.3
Scene_22,satellite,edgepoint2_s64,L22_0136,17,69.75,85.51,167.1,4096,214,6,0.028,0.381,0.4101,4,False,PLE-08,,,119.7,68.1,43.8,4.3
