scene,mode,method,sample_id,frame_index,altitude_m,view_angle_deg,yaw_deg,keypoints,matches,inliers,inlier_ratio,reproj_err_px,scale,tiles_searched,plausible,reject_code,error_m,sigma_m,latency_ms,detect_ms,match_ms,ransac_ms
Scene_09,satellite,akaze,L09_0001,0,63.88,89.44,81.62,1056,551,6,0.0109,0.891,1.3533,9,False,PLE-08,,,602.0,310.6,213.9,29.3
Scene_09,satellite,akaze,L09_0002,1,70.66,89.41,82.04,1310,611,6,0.0098,0.534,150.0649,9,False,PLE-08,,,640.1,365.0,223.6,25.7
Scene_09,satellite,akaze,L09_0003,2,78.25,89.4,82.44,1620,695,5,0.0072,0.059,7.049,9,False,PLE-08,,,889.9,478.1,334.4,33.5
Scene_09,satellite,akaze,L09_0004,3,85.34,89.4,82.7,1900,758,6,0.0079,0.489,0.135,9,False,PLE-08,,,945.4,568.3,301.4,34.9
Scene_09,satellite,akaze,L09_0005,4,91.23,89.42,83.0,2193,848,6,0.0071,0.338,1.3854,9,False,PLE-08,,,1141.6,723.4,350.8,33.6
Scene_09,satellite,akaze,L09_0006,5,93.91,89.43,83.24,2248,809,6,0.0074,0.265,12.2983,9,False,PLE-08,,,1241.0,805.9,365.3,33.2
Scene_09,satellite,akaze,L09_0007,6,93.52,87.17,143.04,2401,848,5,0.0059,0.143,2.0544,9,False,PLE-08,,,1656.3,1214.6,367.2,32.7
Scene_09,satellite,akaze,L09_0008,7,92.33,86.78,144.67,2170,810,7,0.0086,0.547,0.0375,9,False,PLE-08,,,1562.3,1140.4,351.8,35.7
Scene_09,satellite,akaze,L09_0009,8,92.58,86.7,146.03,2071,781,7,0.009,0.944,0.4661,9,False,PLE-08,,,1647.6,1209.4,354.8,32.4
Scene_09,satellite,akaze,L09_0010,9,92.94,86.86,147.48,1878,731,5,0.0068,0.253,0.9026,9,False,PLE-08,,,1547.0,1181.3,301.8,29.5
Scene_09,satellite,akaze,L09_0011,10,92.89,87.26,148.38,1770,685,5,0.0073,0.211,0.1992,9,False,PLE-08,,,1488.7,1145.3,276.4,27.0
Scene_09,satellite,akaze,L09_0012,11,93.11,87.99,148.84,1751,681,5,0.0073,0.137,0.1941,9,False,PLE-08,,,1596.6,1196.6,323.3,31.9
Scene_09,satellite,akaze,L09_0013,12,93.37,89.37,105.79,1847,714,5,0.007,0.085,1.0282,9,False,PLE-08,,,1413.3,994.3,348.0,30.0
Scene_09,satellite,akaze,L09_0014,13,92.56,89.78,93.72,1383,649,6,0.0092,0.522,0.0986,9,False,PLE-08,,,1057.2,691.4,284.5,29.5
Scene_09,satellite,akaze,L09_0015,14,93.57,89.73,93.19,1389,647,6,0.0093,0.412,0.6552,9,False,PLE-08,,,1006.6,670.1,271.4,25.3
Scene_09,satellite,akaze,L09_0016,15,93.74,89.85,93.35,1442,637,5,0.0078,0.482,0.7097,9,False,PLE-08,,,962.5,656.8,239.9,29.6
Scene_09,satellite,akaze,L09_0017,16,93.66,89.88,93.38,1484,657,5,0.0076,0.114,0.5491,9,False,PLE-08,,,1038.1,671.5,299.5,31.3
Scene_09,satellite,akaze,L09_0018,17,93.23,89.83,93.36,1553,681,5,0.0073,0.183,0.0587,9,False,PLE-08,,,980.1,664.3,255.8,30.0
Scene_09,satellite,akaze,L09_0019,18,93.27,89.78,93.29,1610,693,5,0.0072,0.364,0.3023,9,False,PLE-08,,,979.9,652.3,265.8,28.3
Scene_09,satellite,akaze,L09_0020,19,93.36,89.93,93.43,1630,699,5,0.0072,0.233,0.0204,9,False,PLE-08,,,977.7,653.5,261.8,31.8
Scene_09,satellite,akaze,L09_0021,20,93.06,89.94,93.38,1625,672,5,0.0074,0.297,0.8007,9,True,,80.7444,8.0,971.7,649.6,265.2,23.9
Scene_09,satellite,akaze,L09_0022,21,93.23,89.81,93.04,1564,680,5,0.0074,0.017,0.3428,9,False,PLE-08,,,937.7,642.0,235.0,29.2
Scene_09,satellite,akaze,L09_0023,22,93.7,89.91,92.25,1491,635,5,0.0079,0.263,0.7246,9,False,PLE-08,,,930.1,631.7,234.4,31.1
Scene_09,satellite,akaze,L09_0024,23,93.92,89.94,91.82,1520,660,5,0.0076,0.178,1.1634,9,False,PLE-08,,,909.9,617.6,229.9,28.4
Scene_09,satellite,akaze,L09_0025,24,93.97,89.92,91.51,1656,699,6,0.0086,0.261,0.8442,9,False,PLE-08,,,992.5,666.8,265.3,28.9
Scene_09,satellite,akaze,L09_0026,25,93.93,89.76,91.42,1785,750,5,0.0067,0.052,0.5942,9,False,PLE-08,,,1001.3,653.2,285.7,32.7
